lon,lat,depth,depth_lower
-127.94999999999999,41.45,,
-127.9,41.45,,
-127.85,41.45,,
-127.80000000000001,41.45,,
-127.75,41.45,,
-127.69999999999999,41.45,,
-127.65,41.45,,
-127.6,41.45,,
-127.55000000000001,41.45,,
-127.5,41.45,,
-127.44999999999999,41.45,,
-127.4,41.45,,
-127.35,41.45,,
-127.30000000000001,41.45,,
-127.25,41.45,,
-127.19999999999999,41.45,,
-127.15,41.45,,
-127.1,41.45,,
-127.05000000000001,41.45,,
-127.0,41.45,,
-126.94999999999999,41.45,,
-126.9,41.45,,
-126.85,41.45,,
-126.80000000000001,41.45,,
-126.75,41.45,,
-126.69999999999999,41.45,,
-126.65,41.45,,
-126.6,41.45,,
-126.55000000000001,41.45,,
-126.5,41.45,,
-126.44999999999999,41.45,,
-126.4,41.45,,
-126.35,41.45,,
-126.30000000000001,41.45,,
-126.25,41.45,,
-126.19999999999999,41.45,,
-126.15,41.45,,
-126.1,41.45,,
-126.05000000000001,41.45,,
-126.0,41.45,,
-125.94999999999999,41.45,,
-125.9,41.45,,
-125.85,41.45,,
-125.80000000000001,41.45,,
-125.75,41.45,,
-125.69999999999999,41.45,,
-125.65,41.45,,
-125.6,41.45,,
-125.55000000000001,41.45,,
-125.5,41.45,,
-125.44999999999999,41.45,,
-125.4,41.45,,
-125.35,41.45,,
-125.30000000000001,41.45,,
-125.25,41.45,,
-125.19999999999999,41.45,-5.23376321793,0.76623678207
-125.15,41.45,-5.59613895416,0.40386104584000027
-125.1,41.45,-6.00206899643,-0.0020689964300002472
-125.05000000000001,41.45,-6.45161294937,-0.4516129493700003
-125.0,41.45,-6.94394874573,-0.9439487457300002
-124.94999999999999,41.45,-7.47740697861,-1.4774069786100004
-124.9,41.45,-8.04955387115,-2.0495538711499997
-124.85,41.45,-8.657330513,-2.657330513
-124.80000000000001,41.45,-9.29723167419,-3.29723167419
-124.75,41.45,-9.96551132202,-3.9655113220199993
-124.69999999999999,41.45,-10.6584024429,-4.6584024429
-124.65,41.45,-11.3723278046,-5.372327804599999
-124.6,41.45,-12.1041002274,-6.1041002274
-124.55000000000001,41.45,-12.8510885239,-6.8510885239
-124.5,41.45,-13.6113500595,-7.611350059499999
-124.44999999999999,41.45,-14.38372612,-8.38372612
-124.4,41.45,-15.1679077148,-9.1679077148
-124.35,41.45,-15.9644756317,-9.9644756317
-124.30000000000001,41.45,-16.7749233246,-10.7749233246
-124.25,41.45,-17.6016654968,-11.601665496799999
-124.19999999999999,41.45,-18.4480552673,-12.4480552673
-124.15,41.45,-19.3183727264,-13.3183727264
-124.1,41.45,-20.2178115845,-14.217811584500001
-124.05000000000001,41.45,-21.1524372101,-15.1524372101
-124.0,41.45,-22.1291065216,-16.1291065216
-123.94999999999999,41.45,-23.1553192139,-17.1553192139
-123.9,41.45,-24.2390232086,-18.2390232086
-123.85,41.45,-25.3883457184,-19.3883457184
-123.80000000000001,41.45,-26.6112499237,-20.6112499237
-123.75,41.45,-27.9151725769,-21.9151725769
-123.69999999999999,41.45,-29.3066120148,-23.3066120148
-123.65,41.45,-30.7907485962,-24.7907485962
-123.6,41.45,-32.3711013794,-26.371101379400002
-123.55000000000001,41.45,-34.0492591858,-28.049259185799997
-123.5,41.45,-35.8247451782,-29.824745178199997
-123.44999999999999,41.45,-37.6949615479,-31.6949615479
-123.4,41.45,-39.655292511,-33.655292511
-123.35,41.45,-41.699306488,-35.699306488
-123.30000000000001,41.45,-43.8190612793,-37.8190612793
-123.25,41.45,-46.0054321289,-40.0054321289
-123.19999999999999,41.45,-48.2485198975,-42.2485198975
-123.15,41.45,-50.5379714966,-44.5379714966
-123.1,41.45,-52.8633537292,-46.8633537292
-123.05000000000001,41.45,-55.2143974304,-49.2143974304
-127.94999999999999,41.4,,
-127.9,41.4,,
-127.85,41.4,,
-127.80000000000001,41.4,,
-127.75,41.4,,
-127.69999999999999,41.4,,
-127.65,41.4,,
-127.6,41.4,,
-127.55000000000001,41.4,,
-127.5,41.4,,
-127.44999999999999,41.4,,
-127.4,41.4,,
-127.35,41.4,,
-127.30000000000001,41.4,,
-127.25,41.4,,
-127.19999999999999,41.4,,
-127.15,41.4,,
-127.1,41.4,,
-127.05000000000001,41.4,,
-127.0,41.4,,
-126.94999999999999,41.4,,
-126.9,41.4,,
-126.85,41.4,,
-126.80000000000001,41.4,,
-126.75,41.4,,
-126.69999999999999,41.4,,
-126.65,41.4,,
-126.6,41.4,,
-126.55000000000001,41.4,,
-126.5,41.4,,
-126.44999999999999,41.4,,
