file_name,station_id,begin_time,phase_type,phase_time,phase_score,polarity,sharpness
nc72946846.mseed,NC.GTS..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:28.250,0.935,U,I
nc72946846.mseed,NC.GVV..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:22.330,0.941,U,E
nc72946846.mseed,NC.KBN..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.290,0.915,U,I
nc72946846.mseed,NC.KCO..HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.920,0.899,D,I
nc72946846.mseed,NC.KCR.02.EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:14.250,0.9,D,I
nc72946846.mseed,NC.KCPB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:20.660,0.956,U,E
nc72946846.mseed,NC.KCT..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:19.480,0.921,D,E
nc72946846.mseed,NC.KHBB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:12.930,0.98,D,I
nc72946846.mseed,NC.KIP..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:19.090,0.973,U,I
nc72946846.mseed,NC.KHMB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:16.210,0.959,U,I
nc72946846.mseed,NC.KKP..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:14.820,0.809,U,I
nc72946846.mseed,NC.KMPB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:17.120,0.98,D,I
nc72946846.mseed,NC.KMR..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:14.830,0.969,D,I
nc72946846.mseed,NC.KPP..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:12.380,0.982,D,I
nc72946846.mseed,NC.KOM.02.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:48:36.280,0.862,D,I
nc72946846.mseed,NC.KRMB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:24.780,0.971,D,I
nc72946846.mseed,NC.KRP..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:20.780,0.962,D,I
nc72946846.mseed,NC.LAMB..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:28.060,0.859,U,E
nc72946846.mseed,NC.KSXB..HHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:28.740,0.963,D,I
nc72946846.mseed,NC.LBP..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:15.420,0.824,U,I
nc72946846.mseed,NC.LPG..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.490,0.92,U,I
nc72946846.mseed,NC.LPK..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:26.620,0.875,U,E
nc72946846.mseed,NC.LVR..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:19.530,0.774,U,E
nc72946846.mseed,NP.1023.10.HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:51:02.980,0.913,U,E
nc72946846.mseed,NP.1582..HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.630,0.951,U,E
nc72946846.mseed,NP.1746..HNZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.010,0.903,U,E
nc72946846.mseed,PB.B045..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:15.810,0.974,D,I
nc72946846.mseed,PB.B047..EHZ,2017-12-31 19:48:36.270,P,2017-12-31 19:49:18.010,0.971,D,I
