# Snuffler Markers File Version 0.2
phase: 2008-02-27 00:10:53.45000  0 XQ.ME29.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:10:55.42446  0 BK.JCC..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:10:55.65000  0 NC.KRMB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:55.78179  0 XQ.ME31.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:10:55.82000  0 XQ.ME27.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:56.45931  0 XQ.ME01.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:10:56.66778  0 XQ.ME32.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:56.69072  0 BK.WDC..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:57.05872  0 XQ.ME03.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:57.16419  0 BK.YBH..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:10:58.27000  0 XQ.ME09.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:10:58.34000  0 XQ.ME30.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:10:58.72000  0 NC.KSXB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:10:58.90000  0 XQ.ME13.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:10:59.36747  0 XQ.ME08.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P          -1 False
phase: 2008-02-27 00:10:59.99043  0 XQ.ME39.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P           1 False
phase: 2008-02-27 00:11:26.92000  0 XQ.ME42.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:11:42.54000  0 XQ.ME34.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:12:17.00000  0 XQ.ME52.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P        None False
phase: 2008-02-27 00:12:18.30000  0 XQ.ME52.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 S        None False
phase: 2008-02-27 00:12:18.41000  0 NC.GWR..EHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.82000 P        None False
event: 2008-04-30 03:03:06.90000  0 wAXB8aN_xWI0-aAsgqIhWEPw-qU=   40.8358333 -123.4968333       27.755 None None  nc40216664 None
phase: 2008-04-30 03:03:11.78143  0 XQ.ME30.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:12.91092  0 NC.KHMB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:13.87287  0 NC.KHBB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:15.13604  0 XQ.ME31.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:15.28590  0 XQ.ME29.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:15.29529  0 BK.JCC..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:15.40675  0 XQ.ME32.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.12595  0 XQ.ME13.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.17510  0 XQ.ME33.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.19500  0 XQ.ME07.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.40931  0 XQ.ME27.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P          -1 False
phase: 2008-04-30 03:03:16.73571  0 XQ.ME35.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.89353  0 NC.KRP..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
phase: 2008-04-30 03:03:16.92713  0 XQ.ME04.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.90000 P           1 False
