station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
PB.B935..EH,2013-05-17T23:14:24.840,4716,2013-05-17T23:15:12.000,0.332,P,nc71993336.mseed,46.610599517822266,46.610599517822266
PB.B935..EH,2013-05-17T23:14:24.840,4375,2013-05-17T23:15:08.590,0.314,S,nc71993336.mseed,50.6518669128418,50.6518669128418
PB.B935..EH,2013-05-17T23:14:24.840,5353,2013-05-17T23:15:18.370,0.769,S,nc71993336.mseed,46.610599517822266,46.610599517822266
TA.O02D..HH,2013-05-17T23:14:24.840,3882,2013-05-17T23:15:03.660,0.945,P,nc71993336.mseed,367.666015625,367.666015625
TA.O02D..HH,2013-05-17T23:14:24.840,4440,2013-05-17T23:15:09.240,0.874,S,nc71993336.mseed,367.666015625,367.666015625
BK.JCC..HH,2008-02-27T00:10:12.820,4275,2008-02-27T00:10:55.570,0.802,P,nc51197189.mseed,1143.13818359375,1143.13818359375
BK.JCC..HH,2008-02-27T00:10:12.820,5391,2008-02-27T00:11:06.730,0.774,S,nc51197189.mseed,1390.50439453125,1390.50439453125
BK.WDC..HH,2008-02-27T00:10:12.820,4390,2008-02-27T00:10:56.720,0.915,P,nc51197189.mseed,820.0764770507812,820.0764770507812
BK.WDC..HH,2008-02-27T00:10:12.820,5431,2008-02-27T00:11:07.130,0.486,S,nc51197189.mseed,901.6243286132812,901.6243286132812
BK.YBH..HH,2008-02-27T00:10:12.820,4435,2008-02-27T00:10:57.170,0.819,P,nc51197189.mseed,806.8744506835938,806.8744506835938
BK.YBH..HH,2008-02-27T00:10:12.820,5467,2008-02-27T00:11:07.490,0.55,S,nc51197189.mseed,957.9738159179688,957.9738159179688
NC.GHL..EH,2008-02-27T00:10:12.820,13500,2008-02-27T00:12:27.820,0.44,S,nc51197189.mseed,82.9888687133789,82.9888687133789
NC.GHO..EH,2008-02-27T00:10:12.820,13562,2008-02-27T00:12:28.440,0.329,S,nc51197189.mseed,61.31919860839844,61.31919860839844
NC.GWR..EH,2008-02-27T00:10:12.820,12559,2008-02-27T00:12:18.410,0.632,P,nc51197189.mseed,162.9054718017578,162.9054718017578
NC.GWR..EH,2008-02-27T00:10:12.820,12814,2008-02-27T00:12:20.960,0.367,S,nc51197189.mseed,158.9054718017578,158.9054718017578
NC.KCPB..HH,2008-02-27T00:10:12.820,751,2008-02-27T00:10:20.330,0.906,P,nc51197189.mseed,1069.9320068359375,1069.9320068359375
NC.KCPB..HH,2008-02-27T00:10:12.820,13289,2008-02-27T00:12:25.710,0.914,P,nc51197189.mseed,572.0679931640625,572.0679931640625
