# Snuffler Markers File Version 0.2
phase: 2008-02-27 00:10:53.4500  0 XQ.ME29.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:10:55.3673  0 BK.JCC..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:55.6500  0 NC.KRMB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:55.6753  0 XQ.ME31.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           0 False
phase: 2008-02-27 00:10:55.5924  0 XQ.ME27.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:56.3905  0 XQ.ME01.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:56.6678  0 XQ.ME32.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:56.6907  0 BK.WDC..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:57.0587  0 XQ.ME03.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P          -1 False
phase: 2008-02-27 00:10:57.1642  0 BK.YBH..HHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P           0 False
phase: 2008-02-27 00:10:58.2700  0 XQ.ME09.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:10:58.3400  0 XQ.ME30.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:10:58.7200  0 NC.KSXB..HHZ    jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:58.9000  0 XQ.ME13.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:10:59.3675  0 XQ.ME08.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:10:59.9904  0 XQ.ME39.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:11:26.9200  0 XQ.ME42.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:11:42.5400  0 XQ.ME34.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:12:17.0000  0 XQ.ME52.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
phase: 2008-02-27 00:12:18.3000  0 XQ.ME52.01.BHZ  jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 S        None False
phase: 2008-02-27 00:12:18.4100  0 NC.GWR..EHZ     jvJz-mRSOYOx9i76RC5-HL0tgO8= 2008-02-27   00:10:42.8200 P        None False
event: 2008-04-30 03:03:06.9000  0 wAXB8aN_xWI0-aAsgqIhWEPw-qU=   40.8358333 -123.4968333       27.755 None None  nc40216664 None
phase: 2008-04-30 03:03:11.7814  0 XQ.ME30.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:12.9109  0 NC.KHMB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:13.8729  0 NC.KHBB..HHZ    wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P          -1 False
phase: 2008-04-30 03:03:15.1360  0 XQ.ME31.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:15.2859  0 XQ.ME29.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:15.2953  0 BK.JCC..HHZ     wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
phase: 2008-04-30 03:03:15.4067  0 XQ.ME32.01.BHZ  wAXB8aN_xWI0-aAsgqIhWEPw-qU= 2008-04-30   03:03:06.9000 P           1 False
