station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp,diting_polarity,diting_sharpness,pyrocko_phase_time,pyrocko_polarity
BK.WDC..HH,2010-03-09 10:35:50.330,5590,2010-03-09 10:36:46.230,0.817,P,nc71360785.mseed,535.4191284179688,535.4191284179688,,,,
NC.GCW..EH,2010-03-09 10:35:50.330,5665,2010-03-09 10:36:46.980,0.861,P,nc71360785.mseed,124.77507019042967,124.77507019042967,D,I,,
NC.GHG..EH,2010-03-09 10:35:50.330,5893,2010-03-09 10:36:49.260,0.863,P,nc71360785.mseed,90.01640319824219,90.01640319824219,D,E,,
NC.GHL..EH,2010-03-09 10:35:50.330,5799,2010-03-09 10:36:48.320,0.955,P,nc71360785.mseed,209.20632934570312,209.20632934570312,D,E,,
NC.GHM..EH,2010-03-09 10:35:50.330,5464,2010-03-09 10:36:44.970,0.924,P,nc71360785.mseed,187.49786376953125,187.49786376953125,U,I,,
NC.GRO..EH,2010-03-09 10:35:50.330,5589,2010-03-09 10:36:46.220,0.854,P,nc71360785.mseed,211.43246459960935,211.43246459960935,D,E,,
NC.GVV..EH,2010-03-09 10:35:50.330,5555,2010-03-09 10:36:45.880,0.84,P,nc71360785.mseed,367.3349914550781,367.3349914550781,U,E,,
NC.GWR..EH,2010-03-09 10:35:50.330,5431,2010-03-09 10:36:44.640,0.976,P,nc71360785.mseed,405.0709228515625,405.0709228515625,D,I,,
NC.KCPB..HH,2010-03-09 10:35:50.330,4746,2010-03-09 10:36:37.790,0.941,P,nc71360785.mseed,5540.6953125,5540.6953125,D,I,,
NC.KHBB..HH,2010-03-09 10:35:50.330,4919,2010-03-09 10:36:39.520,0.957,P,nc71360785.mseed,2724.822021484375,2724.822021484375,U,I,,
NC.KHMB..HH,2010-03-09 10:35:50.330,4651,2010-03-09 10:36:36.840,0.955,P,nc71360785.mseed,22593.958984375,22593.958984375,D,I,,
NC.KRP..HH,2010-03-09 10:35:50.330,4816,2010-03-09 10:36:38.490,0.962,P,nc71360785.mseed,6411.98046875,6411.98046875,D,I,,
NC.KSXB..HH,2010-03-09 10:35:50.330,5765,2010-03-09 10:36:47.980,0.96,P,nc71360785.mseed,3625.4033203125,3625.4033203125,D,I,,
PB.B045..EH,2010-03-09 10:35:50.330,4014,2010-03-09 10:36:30.470,0.942,P,nc71360785.mseed,22788.41796875,22788.41796875,D,I,,
PB.B046..EH,2010-03-09 10:35:50.330,3682,2010-03-09 10:36:27.150,0.977,P,nc71360785.mseed,89003.1640625,89003.1640625,U,I,,
PB.B047..EH,2010-03-09 10:35:50.330,3767,2010-03-09 10:36:28.000,0.884,P,nc71360785.mseed,42266.59765625,42266.59765625,U,E,,
PB.B932..EH,2010-03-09 10:35:50.330,3703,2010-03-09 10:36:27.360,0.976,P,nc71360785.mseed,75335.875,75335.875,U,I,,
PB.B933..EH,2010-03-09 10:35:50.330,4070,2010-03-09 10:36:31.030,0.98,P,nc71360785.mseed,17627.65625,17627.65625,D,I,,
PB.B934..EH,2010-03-09 10:35:50.330,4494,2010-03-09 10:36:35.270,0.955,P,nc71360785.mseed,4202.0078125,4202.0078125,D,I,,
PB.B935..EH,2010-03-09 10:35:50.330,4485,2010-03-09 10:36:35.180,0.967,P,nc71360785.mseed,2429.333251953125,2429.333251953125,U,I,,
TA.M02C..BH,2010-03-09 10:35:50.330,5835,2010-03-09 10:36:48.680,0.801,P,nc71360785.mseed,630.9700927734375,630.9700927734375,,,,
TA.N02D..BH,2010-03-09 10:35:50.330,5621,2010-03-09 10:36:46.540,0.88,P,nc71360785.mseed,1609.1435546875,1609.1435546875,,,,
7D.FS09B..BH,2013-05-13 17:22:12.080,6673,2013-05-13 17:23:18.810,0.861,P,nc71990966.mseed,226317.546875,226317.546875,,,,
BK.JCC.00.HH,2013-05-13 17:22:12.080,4103,2013-05-13 17:22:53.110,0.886,P,nc71990966.mseed,1927.213623046875,1927.213623046875,U,E,,
BK.WDC.00.HH,2013-05-13 17:22:12.080,4428,2013-05-13 17:22:56.360,0.819,P,nc71990966.mseed,3008.334716796875,3008.334716796875,U,E,,
BK.YBH.00.HH,2013-05-13 17:22:12.080,4546,2013-05-13 17:22:57.540,0.889,P,nc71990966.mseed,2381.5322265625,2381.5322265625,U,I,,
BK.YBH.50.HH,2013-05-13 17:22:12.080,4539,2013-05-13 17:22:57.470,0.853,P,nc71990966.mseed,3579.255859375,3579.255859375,U,E,,
NC.KCR.02.EH,2013-05-13 17:22:12.080,4359,2013-05-13 17:22:55.670,0.869,P,nc71990966.mseed,59.438533782958984,59.438533782958984,U,E,,
NC.KCS..EH,2013-05-13 17:22:12.080,4111,2013-05-13 17:22:53.190,0.897,P,nc71990966.mseed,195.6765289306641,195.6765289306641,U,I,,
NC.KHBB..HH,2013-05-13 17:22:12.080,3910,2013-05-13 17:22:51.180,0.95,P,nc71990966.mseed,7468.943359375,7468.943359375,U,I,,
