event_id,sta_code,p_polarity,event_id2,origin_lat,origin_lon,origin_depth_km,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,horz_uncert_km,vert_uncert_km,station_lat,station_lon,station_depth_km,pol_agreement,mech_quality,pol_agreement_weighted
nc72322146,KKP.--.EHZ,1.0,1,40.16,-123.20783,36.705,22.307,40.3202,265.939,,,con_p,1.0,1.0,40.145794,-123.46965,-1.226,1,D,1.0
nc72322146,KPP.--.EHZ,1.0,1,40.16,-123.20783,36.705,24.523,43.4877,327.4034,,,con_p,1.0,1.0,40.345791,-123.363281,-1.738,1,D,1.0
nc72322146,KBN.--.EHZ,-1.0,1,40.16,-123.20783,36.705,29.78,50.3188,177.9067,,,con_p,1.0,1.0,39.892372,-123.19503,-1.329,1,D,1.0
nc72322146,KMR.--.HHZ,1.0,1,40.16,-123.20783,36.705,42.818,63.5696,276.2882,,,con_p,1.0,1.0,40.202175,-123.708633,-0.915,1,D,1.0
nc72322146,KBS.02.EHZ,1.0,1,40.16,-123.20783,36.705,42.604,63.3905,230.6717,,,con_p,1.0,1.0,39.917187,-123.595612,-1.12,1,D,1.0
nc72322146,KIP.--.EHZ,-1.0,1,40.16,-123.20783,36.705,45.483,65.7713,210.7286,,,con_p,1.0,1.0,39.808407,-123.4813,-1.341,1,D,1.0
nc72322146,B935.--.EHZ,1.0,1,40.16,-123.20783,36.705,47.118,67.0372,318.7766,,,con_p,1.0,1.0,40.478699,-123.573196,-0.6967000000000001,1,D,1.0
nc72322146,B049.--.EHZ,1.0,1,40.16,-123.20783,36.705,52.709,70.9692,279.4101,,,con_p,1.0,1.0,40.237499,-123.819702,-0.117,1,D,1.0
nc72322146,B934.--.EHZ,1.0,1,40.16,-123.20783,36.705,54.034,71.8591,229.5126,,,con_p,1.0,1.0,39.844501,-123.691399,-0.331,1,D,1.0
nc72322146,KCS.--.EHZ,1.0,1,40.16,-123.20783,36.705,49.424,68.718,328.2407,,,con_p,1.0,1.0,40.53791,-123.513939,-1.64,0,D,0.0
nc72322146,KHBB.--.HHZ,-1.0,1,40.16,-123.20783,36.705,55.598,72.8297,358.9641,,,con_p,1.0,1.0,40.659901,-123.219658,-1.864,1,D,1.0
nc72322146,KCR.02.EHZ,1.0,1,40.16,-123.20783,36.705,59.917,75.3663,299.6358,,,con_p,1.0,1.0,40.426441,-123.820641,-0.873,1,D,1.0
nc72322146,B933.--.EHZ,1.0,1,40.16,-123.20783,36.705,65.636,78.3313,260.2461,,,con_p,1.0,1.0,40.060001,-123.969002,-0.2681,1,D,1.0
nc72322146,B045.--.EHZ,1.0,1,40.16,-123.20783,36.705,73.717,82.0501,294.6037,,,con_p,1.0,1.0,40.436001,-123.996498,-0.0294,1,D,1.0
