3.7103e+01 7.8705e+01 -1.2615e+01
2.2515e+01 8.9834e+01 -6.7416e+00
3.4182e+02 8.9286e+01 -8.9525e+01
2.2092e+02 8.8265e+01 -5.2931e+00
3.3862e+02 8.5946e+01 1.6912e+02
1.5516e+01 6.7508e+01 -5.0229e+00
2.0010e+02 7.7025e+01 1.7479e+02
1.7761e+02 4.1726e+01 1.6963e+02
1.1523e+02 7.2982e+01 -1.1837e+02
3.4065e+02 7.9335e+01 -1.6143e+02
1.7524e+02 4.0765e+01 -1.0822e+02
2.7456e+02 5.2849e+01 -7.7873e+01
3.4329e+02 5.7924e+01 -1.4059e+02
1.7662e+02 8.6649e+01 8.4386e+01
3.2592e+02 7.1739e+01 -1.2843e+02
2.1282e+02 3.8345e+01 -1.4786e+02
1.2203e+02 6.5314e+01 -1.0603e+02
1.9358e+02 5.0119e+01 -6.9430e+01
2.6975e+00 6.3578e+01 -7.8717e+01
4.4702e+01 6.7758e+01 8.4718e+00
3.4533e+02 7.8826e+01 -8.6320e+01
2.1098e+02 4.5121e+01 -7.3551e+01
2.1978e+02 6.4058e+01 -3.8707e+01
1.7644e+02 5.8002e+01 -9.5254e+01
2.0508e+02 4.1557e+01 -9.1745e+01
1.6857e+02 5.7509e+01 9.3431e+01
1.9266e+02 8.7044e+01 -1.1520e+01
2.5901e+01 6.1324e+01 -8.5809e+01
2.0082e+02 5.3081e+01 -6.6675e+00
