event_id,event_id2,station,location,channel,p_polarity,origin_latitude,origin_longitude,origin_depth_km
1,,ME63,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME57,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME07,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME04,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME03,01,BHZ,-1.0,40.8358333,-123.4968333,27.755
1,,ME01,01,BHZ,-1.0,40.8358333,-123.4968333,27.755
1,,KSXB,--,HHZ,-1.0,40.8358333,-123.4968333,27.755
1,,KRP,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,KRMB,--,HHZ,-1.0,40.8358333,-123.4968333,27.755
1,,KMR,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,KMPB,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,KHMB,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,KHBB,--,HHZ,-1.0,40.8358333,-123.4968333,27.755
1,,KCT,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,KCPB,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,GWR,--,EHZ,-1.0,40.8358333,-123.4968333,27.755
1,,GVV,--,EHZ,-1.0,40.8358333,-123.4968333,27.755
1,,GTS,--,EHZ,1.0,40.8358333,-123.4968333,27.755
1,,GRO,--,EHZ,1.0,40.8358333,-123.4968333,27.755
1,,GHM,--,EHZ,1.0,40.8358333,-123.4968333,27.755
1,,GHL,--,EHZ,1.0,40.8358333,-123.4968333,27.755
1,,GHG,--,EHZ,-1.0,40.8358333,-123.4968333,27.755
1,,GCW,--,EHZ,-1.0,40.8358333,-123.4968333,27.755
1,,YBH,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,WDC,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,JCC,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME08,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,GASB,--,HHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME09,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME27,01,BHZ,-1.0,40.8358333,-123.4968333,27.755
1,,ME54,01,BHZ,-1.0,40.8358333,-123.4968333,27.755
1,,ME52,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME50,01,BHZ,1.0,40.8358333,-123.4968333,27.755
1,,ME49,01,BHZ,1.0,40.8358333,-123.4968333,27.755
