event_id,sta_code,p_polarity,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,sp_ratio,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km,event_mag,station_lat,station_lon,station_depth_km,mean_takeoff,mean_sr_az,mech_quality
3143312,CI.SMIP.ELZ,1.0,5.11,,,,,trad_p,,34.2425,-118.61766666666666,18.13,0.07,0.1,2.3,34.2632,-118.6673,-0.3,16.7,296.8,A
3143312,CI.KSRG.HLZ,-1.0,24.27,,,,,trad_p,,34.2425,-118.61766666666666,18.13,0.07,0.1,2.3,34.0596,-118.4736,-0.07,57.1,146.9,A
3145744,CI.IR2.VHZ,-1.0,26.101,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.38807,-118.39972,-0.562,58.6,51.3,B
3145744,CI.PYR.VHZ,-1.0,37.984,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.56784,-118.7419,-1.209,69.0,343.0,B
3145744,CI.SIP.VHZ,1.0,15.223,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.20453,-118.78073,-0.694,42.0,254.5,B
3145744,CI.ECF.VHZ,1.0,49.509,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.45801,-119.09154,-0.956,75.3,299.1,B
3145744,CI.SLG.EHZ,-0.5,43.346,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.10946,-119.06496,-0.381,72.2,250.3,B
3145744,CI.LRR.EHZ,-1.0,63.022,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.52629,-118.02867,-0.88,80.1,59.8,B
3145744,CI.TPR.VHZ,-1.0,16.776,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.09285,-118.5878,-0.335,45.0,169.5,B
3145744,CI.LJB.EHZ,-0.5,80.947,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.59092,-117.8489,-0.861,84.6,61.3,B
3145744,CI.JNH.EHZ,-0.5,65.237,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.44795,-117.95705,-1.289,80.8,69.4,B
3145744,CI.XTL.VHZ,-1.0,70.032,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.29597,-117.86223,-1.643,82.0,85.0,B
3145744,CI.OAK.VHZ,1.0,20.263,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.36363,-118.78439,-0.832,50.9,312.2,B
3145744,CI.HYS.EHZ,-0.5,118.991,,,,,trad_p,,34.241166666666665,-118.62116666666667,18.54,0.03,0.09,2.4,34.86532,-117.56975,-0.833,93.9,54.3,B
