event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,110.4,42.0,88.9,C,10.7,11.3,61,12,25.5,100.0,55.2,44.5,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
2155068,151.8,48.2,133.3,A,20.8,18.5,34,2,0.0,99.4,55.8,114.4,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3143312,138.5,48.0,139.6,A,12.9,16.1,31,7,11.2,100.0,71.1,9.4,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3145744,286.0,45.6,56.9,B,18.1,15.7,33,10,16.6,100.0,69.9,43.9,False,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3146815,145.0,43.2,133.5,A,12.7,10.6,94,11,8.9,100.0,62.9,26.6,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3146907,303.9,41.5,101.5,A,23.0,23.4,23,2,6.8,90.2,64.1,81.3,False,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3147167,283.8,43.0,62.4,A,11.8,10.5,58,17,13.0,100.0,64.6,-7.3,False,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3148018,158.6,48.6,126.8,A,15.0,21.6,47,12,14.2,96.8,54.8,4.2,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3148047,285.0,46.0,58.5,A,13.3,13.6,39,11,8.5,100.0,65.6,-8.4,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3149674,133.5,43.0,105.7,C,13.3,14.8,50,12,20.1,100.0,62.4,9.3,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3150301,105.8,44.4,90.2,B,15.3,15.3,32,9,19.0,98.1,68.3,-8.4,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3150490,288.4,42.1,92.9,A,11.1,13.3,60,16,10.8,100.0,64.6,-20.4,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
3150936,144.9,53.2,131.3,A,12.5,14.0,60,12,12.0,100.0,54.2,19.1,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3150947,141.9,43.0,130.1,B,12.6,10.9,50,9,16.9,100.0,56.0,13.7,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3151649,130.0,42.0,113.9,A,17.5,18.0,33,6,4.6,99.8,56.4,-3.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3152142,118.9,37.6,103.5,A,12.0,10.7,50,10,11.8,100.0,57.3,40.6,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3152388,134.1,50.5,106.3,C,19.1,21.4,36,8,25.5,96.0,61.7,18.6,False,1994-03-18 08:27:27,2.2,34.2405,-118.617667,18.28,0.03,0.04
3152559,143.2,42.8,120.4,A,13.4,16.2,44,6,13.7,100.0,56.4,23.2,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3153955,319.5,40.7,119.9,A,20.2,18.0,32,5,10.6,98.6,62.2,27.2,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3158361,135.5,44.2,116.3,A,18.4,20.0,47,3,10.2,98.0,55.0,106.5,False,1994-03-24 11:23:51,1.7,34.240167,-118.618333,18.04,0.05,0.05
3159027,283.4,43.2,74.2,A,23.3,20.6,39,1,0.0,94.6,66.3,46.3,False,1994-07-26 02:58:20,2.6,34.239,-118.6115,17.78,0.05,0.14
3159267,130.4,49.7,113.4,A,16.4,15.5,45,4,5.4,100.0,64.8,102.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3160206,144.6,44.6,127.5,A,19.7,18.3,31,1,7.3,98.8,57.1,71.2,False,1994-02-07 05:23:49,1.8,34.237333,-118.613,17.7,0.06,0.11
3177685,132.2,42.8,116.0,A,12.6,13.5,54,3,9.3,100.0,64.5,110.8,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
