sta_code,source,avg_sp_diff,std_sp_diff,count
XX.ST074.--.EHZ,trad_sp,0.0223,-999.9999,1
XX.ST018.--.EHZ,trad_sp,0.0226,-999.9999,1
XX.ST010.--.EHZ,trad_sp,0.0228,-999.9999,1
XX.ST098.--.EHZ,trad_sp,0.0237,-999.9999,1
XX.ST035.--.EHZ,trad_sp,0.0238,-999.9999,1
XX.ST021.--.EHZ,trad_sp,0.0253,-999.9999,1
XX.ST068.--.EHZ,trad_sp,0.0272,-999.9999,1
XX.ST066.--.EHZ,trad_sp,0.0294,-999.9999,1
XX.ST019.--.EHZ,trad_sp,0.03,-999.9999,1
XX.ST007.--.EHZ,trad_sp,0.0326,-999.9999,1
XX.ST017.--.EHZ,trad_sp,0.0328,-999.9999,1
XX.ST089.--.EHZ,trad_sp,0.033,-999.9999,1
XX.ST052.--.EHZ,trad_sp,0.0338,-999.9999,1
XX.ST027.--.EHZ,trad_sp,0.0365,-999.9999,1
XX.ST038.--.EHZ,trad_sp,0.0381,-999.9999,1
XX.ST013.--.EHZ,trad_sp,0.0391,-999.9999,1
XX.ST008.--.EHZ,trad_sp,0.0409,-999.9999,1
XX.ST072.--.EHZ,trad_sp,0.0412,-999.9999,1
XX.ST020.--.EHZ,trad_sp,0.0439,-999.9999,1
XX.ST070.--.EHZ,trad_sp,0.0516,-999.9999,1
