event_id,sta_code,p_polarity,event_id2,origin_lat,origin_lon,origin_depth_km,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,horz_uncert_km,vert_uncert_km,station_lat,station_lon,station_depth_km,pol_agreement,mean_takeoff,mean_sr_az,mech_quality,pol_agreement_weighted
1,GTC.--.EHZ,0.02566,81905289,39.36743,-123.2538,7.142,26.164,,,,,con_p,1,1,39.39944,-123.55532,-0.369,1.0,83.4615,277.8186,B,0.02566
1,HBW.--.DPZ,-0.00193,81905289,39.36743,-123.2538,7.142,65.261,,,,,con_p,1,1,38.85853,-122.87569,-0.985,1.0,97.517,150.1255,B,0.00193
1,GNR.01.EHZ,2e-05,81905289,39.36743,-123.2538,7.142,37.66,,,,,con_p,1,1,39.20074,-123.63514,-0.327,1.0,89.3794,240.5169,B,2e-05
1,GWR.01.EHZ,-0.01066,81905289,39.36743,-123.2538,7.142,18.433,,,,,con_p,1,1,39.20575,-123.3011,-0.654,1.0,76.8009,192.7449,B,0.01066
1,BARR.00.HHZ,9e-05,81905289,39.36743,-123.2538,7.142,8.485,,,,,con_p,1,1,39.30477,-123.19748,-0.264,1.0,55.8993,145.2043,B,9e-05
1,DCMP.00.HHZ,-0.01556,81905289,39.36743,-123.2538,7.142,13.389,,,,,con_p,1,1,39.46897,-123.3375,-0.448,1.0,69.2056,327.4907,B,0.01556
1,INGL.00.HHZ,0.00934,81905289,39.36743,-123.2538,7.142,42.236,,,,,con_p,1,1,39.52898,-123.69844,-0.29,1.0,90.9872,295.1708,B,0.00934
1,GTC.--.EHZ,0.05028,81905440,39.36187,-123.25602,6.893,26.069,,,,,con_p,1,1,39.39944,-123.55532,-0.369,1.0,84.0022,279.2221,B,0.05028
1,GMR.01.EHZ,-0.03039,81905440,39.36187,-123.25602,6.893,31.281,,,,,con_p,1,1,39.13317,-123.46788,-0.37,1.0,87.0666,215.6104,B,0.03039
1,GNR.01.EHZ,1e-05,81905440,39.36187,-123.25602,6.893,37.195,,,,,con_p,1,1,39.20074,-123.63514,-0.327,1.0,89.5874,241.2013,B,1e-05
1,GNR.01.HNZ,0.00024,81905440,39.36187,-123.25602,6.893,37.195,,,,,con_p,1,1,39.20074,-123.63514,-0.327,1.0,89.5874,241.2013,B,0.00024
1,GWR.01.EHZ,-0.02468,81905440,39.36187,-123.25602,6.893,17.788,,,,,con_p,1,1,39.20575,-123.3011,-0.654,1.0,76.8905,192.5846,B,0.02468
1,KIP.01.EHZ,-5e-05,81905440,39.36187,-123.25602,6.893,53.31,,,,,con_p,1,1,39.80852,-123.48129,-1.341,1.0,94.6527,338.6975,B,5e-05
1,BARR.00.HHZ,0.03286,81905440,39.36187,-123.25602,6.893,8.102,,,,,con_p,1,1,39.30477,-123.19748,-0.264,1.0,55.7504,141.5986,B,0.03286
1,BONV.00.HHZ,-0.00056,81905440,39.36187,-123.25602,6.893,42.392,,,,,con_p,1,1,38.98742,-123.34856,-0.196,1.0,91.3948,190.8171,B,0.00056
1,DCMP.00.HHZ,-0.02758,81905440,39.36187,-123.25602,6.893,13.817,,,,,con_p,1,1,39.46897,-123.3375,-0.448,1.0,71.0814,329.5365,B,0.02758
1,GDCB.01.EHZ,-0.00013,81905440,39.36187,-123.25602,6.893,66.113,,,,,con_p,1,1,38.76746,-123.23972,-0.773,1.0,97.9576,178.7855,B,0.00013
1,HOPS.00.HHZ,-0.00764,81905440,39.36187,-123.25602,6.893,43.902,,,,,con_p,1,1,38.99349,-123.07234,-0.299,1.0,91.8575,158.9185,B,0.00764
1,INGL.00.HHZ,0.02686,81905440,39.36187,-123.25602,6.893,42.334,,,,,con_p,1,1,39.52898,-123.69844,-0.29,1.0,91.3766,296.0381,B,0.02686
1,GTC.--.EHZ,0.02964,81906080,39.36424,-123.25189,6.902,26.379,,,,,con_p,1,1,39.39944,-123.55532,-0.369,1.0,84.1726,278.5335,B,0.02964
1,HBW.--.DPZ,-0.00014,81906080,39.36424,-123.25189,6.902,64.872,,,,,con_p,1,1,38.85853,-122.87569,-0.985,1.0,97.6559,150.0952,B,0.00014
1,KBN.--.EHZ,-0.02335,81906080,39.36424,-123.25189,6.902,58.931,,,,,con_p,1,1,39.89237,-123.19503,-1.329,1.0,96.1619,4.7582,B,0.02335
1,GMR.01.EHZ,0.00017,81906080,39.36424,-123.25189,6.902,31.702,,,,,con_p,1,1,39.13317,-123.46788,-0.37,0.0,87.3175,215.8548,B,0.0
1,GNR.01.EHZ,0.00179,81906080,39.36424,-123.25189,6.902,37.632,,,,,con_p,1,1,39.20074,-123.63514,-0.327,1.0,89.7881,241.1101,B,0.00179
1,GWR.01.EHZ,-0.01869,81906080,39.36424,-123.25189,6.902,18.125,,,,,con_p,1,1,39.20575,-123.3011,-0.654,1.0,77.2627,193.4986,B,0.01869
1,KIP.01.EHZ,-0.00107,81906080,39.36424,-123.25189,6.902,53.195,,,,,con_p,1,1,39.80852,-123.48129,-1.341,1.0,94.6109,338.2381,B,0.00107
1,DCMP.00.HHZ,-1e-05,81906080,39.36424,-123.25189,6.902,13.777,,,,,con_p,1,1,39.46897,-123.3375,-0.448,1.0,70.9645,327.7077,B,1e-05
1,INGL.00.HHZ,0.01517,81906080,39.36424,-123.25189,6.902,42.538,,,,,con_p,1,1,39.52898,-123.69844,-0.29,1.0,91.4265,295.5092,B,0.01517
1,RVIT.00.HHZ,-0.00057,81906080,39.36424,-123.25189,6.902,61.252,,,,,con_p,1,1,39.90629,-123.37859,-0.781,1.0,96.7364,349.7564,B,0.00057
1,GTC.--.EHZ,0.03551,81906526,39.36202,-123.25517,6.949,26.139,,,,,con_p,1,1,39.39944,-123.55532,-0.369,1.0,83.9099,279.1603,B,0.03551
1,HBW.--.DPZ,4e-05,81906526,39.36202,-123.25517,6.949,64.8,,,,,con_p,1,1,38.85853,-122.87569,-0.985,0.0,97.5932,149.7702,B,0.0
1,KCPB.--.HHZ,0.00036,81906526,39.36202,-123.25517,6.949,45.738,,,,,con_p,1,1,39.68631,-123.58242,-1.261,0.0,92.4532,322.039,B,0.0
1,GMR.01.EHZ,-0.02982,81906526,39.36202,-123.25517,6.949,31.338,,,,,con_p,1,1,39.13317,-123.46788,-0.37,1.0,86.984,215.7013,B,0.02982
1,GNR.01.EHZ,-0.00019,81906526,39.36202,-123.25517,6.949,37.267,,,,,con_p,1,1,39.20074,-123.63514,-0.327,0.0,89.5241,241.233,B,0.0
1,GNR.01.HNZ,0.00014,81906526,39.36202,-123.25517,6.949,37.267,,,,,con_p,1,1,39.20074,-123.63514,-0.327,1.0,89.5241,241.233,B,0.00014
1,GSN.01.EHZ,0.00104,81906526,39.36202,-123.25517,6.949,47.193,,,,,con_p,1,1,38.9404,-123.19245,-0.849,0.0,92.9619,173.4392,B,0.0
1,GWR.01.EHZ,-0.02476,81906526,39.36202,-123.25517,6.949,17.82,,,,,con_p,1,1,39.20575,-123.3011,-0.654,1.0,76.7422,192.8022,B,0.02476
1,BARR.00.HHZ,0.01676,81906526,39.36202,-123.25517,6.949,8.07,,,,,con_p,1,1,39.30477,-123.19748,-0.264,1.0,55.3787,142.0787,B,0.01676
1,DCMP.00.HHZ,-0.00723,81906526,39.36202,-123.25517,6.949,13.84,,,,,con_p,1,1,39.46897,-123.3375,-0.448,1.0,70.9029,329.2407,B,0.00723
1,GHGB.01.EHZ,-0.0013,81906526,39.36202,-123.25517,6.949,45.364,,,,,con_p,1,1,39.12745,-122.82347,-0.858,0.0,92.3147,125.0998,B,0.0
1,HOPS.00.HHZ,-0.00422,81906526,39.36202,-123.25517,6.949,43.892,,,,,con_p,1,1,38.99349,-123.07234,-0.299,1.0,91.7763,159.0154,B,0.00422
1,INGL.00.HHZ,0.02485,81906526,39.36202,-123.25517,6.949,42.392,,,,,con_p,1,1,39.52898,-123.69844,-0.29,1.0,91.3137,295.9744,B,0.02485
1,GTC.--.EHZ,0.01432,81907089,39.36561,-123.25454,7.187,26.13,,,,,con_p,1,1,39.39944,-123.55532,-0.369,1.0,83.3307,278.2772,B,0.01432
1,KCPB.--.HHZ,0.00065,81907089,39.36561,-123.25454,7.187,45.457,,,,,con_p,1,1,39.68631,-123.58242,-1.261,0.0,92.0431,321.6757,B,0.0
1,GMR.01.EHZ,-0.02702,81907089,39.36561,-123.25454,7.187,31.693,,,,,con_p,1,1,39.13317,-123.46788,-0.37,1.0,86.708,215.3596,B,0.02702
1,GNR.01.EHZ,-0.00035,81907089,39.36561,-123.25454,7.187,37.506,,,,,con_p,1,1,39.20074,-123.63514,-0.327,0.0,89.2233,240.7382,B,0.0
