station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
NC.KBN..SH,2008-01-28T20:06:13.900,4454,2008-01-28T20:06:58.440,0.894,P,nc40210243.mseed,19.9378662109375,19.9378662109375
NC.KCR..SH,2008-01-28T20:06:13.900,3571,2008-01-28T20:06:49.610,0.942,P,nc40210243.mseed,332.9477233886719,332.9477233886719
NC.KCS..SH,2008-01-28T20:06:13.900,3518,2008-01-28T20:06:49.080,0.983,P,nc40210243.mseed,598.4182739257812,598.4182739257812
NC.KHBB..HH,2008-01-28T20:06:13.900,3767,2008-01-28T20:06:51.570,0.982,P,nc40210243.mseed,1965.645263671875,1965.645263671875
NC.KHMB..HH,2008-01-28T20:06:13.900,3696,2008-01-28T20:06:50.860,0.987,P,nc40210243.mseed,2022.6817626953125,2022.6817626953125
NC.KJJ..SH,2008-01-28T20:06:13.900,4106,2008-01-28T20:06:54.960,0.8,P,nc40210243.mseed,140.46372985839844,140.46372985839844
NC.KPP..SH,2008-01-28T20:06:13.900,3786,2008-01-28T20:06:51.760,0.839,P,nc40210243.mseed,404.0687561035156,404.0687561035156
NC.LBK..SH,2008-01-28T20:06:13.900,4604,2008-01-28T20:06:59.940,0.887,P,nc40210243.mseed,122.79859161376953,122.79859161376953
NC.LBP..SH,2008-01-28T20:06:13.900,4243,2008-01-28T20:06:56.330,0.88,P,nc40210243.mseed,114.1749496459961,114.1749496459961
NC.LBP..SH,2008-01-28T20:06:13.900,12367,2008-01-28T20:08:17.570,0.826,P,nc40210243.mseed,21.165273666381836,21.165273666381836
NC.LGP..SH,2008-01-28T20:06:13.900,4308,2008-01-28T20:06:56.980,0.965,P,nc40210243.mseed,646.003662109375,646.003662109375
NC.LPG..SH,2008-01-28T20:06:13.900,12203,2008-01-28T20:08:15.930,0.972,P,nc40210243.mseed,170.03973388671875,170.03973388671875
NC.LRB..SH,2008-01-28T20:06:13.900,12396,2008-01-28T20:08:17.860,0.929,P,nc40210243.mseed,44.5796012878418,44.5796012878418
NC.LSF..SH,2008-01-28T20:06:13.900,4593,2008-01-28T20:06:59.830,0.894,P,nc40210243.mseed,32.414798736572266,32.414798736572266
NC.LSH..SH,2008-01-28T20:06:13.900,5226,2008-01-28T20:07:06.160,0.909,P,nc40210243.mseed,78.70826721191406,78.70826721191406
XQ.ME08.01.BH,2008-01-28T20:06:13.900,3963,2008-01-28T20:06:53.530,0.943,P,nc40210243.mseed,3155.24755859375,3155.24755859375
XQ.ME09.01.BH,2008-01-28T20:06:13.900,4539,2008-01-28T20:06:59.290,0.95,P,nc40210243.mseed,775.8282470703125,775.8282470703125
XQ.ME13.01.BH,2008-01-28T20:06:13.900,4136,2008-01-28T20:06:55.260,0.819,P,nc40210243.mseed,2205.27685546875,2205.27685546875
XQ.ME27.01.BH,2008-01-28T20:06:13.900,3882,2008-01-28T20:06:52.720,0.961,P,nc40210243.mseed,2046.7630615234375,2046.7630615234375
XQ.ME29.01.BH,2008-01-28T20:06:13.900,4235,2008-01-28T20:06:56.250,0.923,P,nc40210243.mseed,1329.904296875,1329.904296875
XQ.ME30.01.BH,2008-01-28T20:06:13.900,3620,2008-01-28T20:06:50.100,0.971,P,nc40210243.mseed,3475.33642578125,3475.33642578125
XQ.ME33.01.BH,2008-01-28T20:06:13.900,3526,2008-01-28T20:06:49.160,0.911,P,nc40210243.mseed,4357.34619140625,4357.34619140625
XQ.ME34.01.BH,2008-01-28T20:06:13.900,3812,2008-01-28T20:06:52.020,0.878,P,nc40210243.mseed,7377.85693359375,7377.85693359375
XQ.ME37.01.BH,2008-01-28T20:06:13.900,3723,2008-01-28T20:06:51.130,0.826,P,nc40210243.mseed,2378.755615234375,2378.755615234375
XQ.ME39.01.BH,2008-01-28T20:06:13.900,3866,2008-01-28T20:06:52.560,0.922,P,nc40210243.mseed,2182.706787109375,2182.706787109375
BK.JCC..HH,2008-04-04T17:10:56.150,3485,2008-04-04T17:11:31.000,0.981,P,nc40214567.mseed,4329.095703125,4329.095703125
BK.WDC..HH,2008-04-04T17:10:56.150,4892,2008-04-04T17:11:45.070,0.902,P,nc40214567.mseed,285.902587890625,285.902587890625
BK.YBH..HH,2008-04-04T17:10:56.150,5312,2008-04-04T17:11:49.270,0.882,P,nc40214567.mseed,345.7345275878906,345.7345275878906
