event_id,mech_number,strike,dip,rake,norm_N,norm_E,norm_Z,norm_aux_N,norm_aux_E,norm_aux_Z
2148509,0,279.5,15.0,95.0,-0.2553,-0.0426,0.9659,0.9635,0.0724,0.2578
2148509,1,133.9,35.0,135.0,0.4133,0.3977,0.8192,-0.9077,0.1078,0.4056
2148509,2,130.6,60.0,115.0,0.6571,0.5641,0.5,-0.6191,0.0255,0.7849
2148509,3,103.1,50.0,100.0,0.7461,0.1735,0.6428,-0.6559,0.0258,0.7544
2148509,4,279.8,50.0,100.0,-0.7548,-0.1306,0.6428,0.6534,-0.0632,0.7544
2148509,5,105.7,40.0,105.0,0.619,0.1734,0.766,-0.7823,0.0496,0.6209
2148509,6,110.0,30.0,100.0,0.4698,0.171,0.866,-0.8608,-0.1285,0.4924
2148509,7,285.3,55.0,95.0,-0.7903,-0.2155,0.5736,0.5742,0.0663,0.816
2148509,8,291.4,55.0,100.0,-0.7629,-0.2983,0.5736,0.5893,0.044,0.8067
2148509,9,127.1,70.0,125.0,0.7499,0.5663,0.342,-0.5692,0.2889,0.7698
2148509,10,146.5,45.0,120.0,0.3906,0.5894,0.7071,-0.7551,-0.2343,0.6124
2148509,11,155.5,50.0,155.0,0.3182,0.6968,0.6428,-0.9373,0.1294,0.3237
2148509,12,106.6,65.0,100.0,0.8685,0.2592,0.4226,-0.4485,0.0474,0.8925
2148509,13,318.0,25.0,135.0,-0.2828,-0.3141,0.9063,0.9543,0.0031,0.2988
2148509,14,120.0,30.0,105.0,0.433,0.25,0.866,-0.8539,-0.1941,0.483
2148509,15,162.0,50.0,145.0,0.2367,0.7286,0.6428,-0.893,-0.0975,0.4394
2148509,16,157.1,55.0,135.0,0.3185,0.7547,0.5736,-0.8092,-0.0987,0.5792
2148509,17,306.0,20.0,100.0,-0.2767,-0.201,0.9397,0.8507,0.4035,0.3368
2148509,18,140.0,30.0,130.0,0.3214,0.383,0.866,-0.9188,-0.095,0.383
2148509,19,308.8,45.0,100.0,-0.5509,-0.4433,0.7071,0.6514,0.3013,0.6964
2148509,20,303.6,55.0,100.0,-0.6826,-0.4528,0.5736,0.5667,0.1676,0.8067
2148509,21,102.2,55.0,100.0,0.8006,0.1732,0.5736,-0.5888,0.0503,0.8067
2148509,22,121.8,70.0,105.0,0.7989,0.4947,0.342,-0.4171,0.0461,0.9077
2148509,23,123.2,65.0,115.0,0.7581,0.4967,0.4226,-0.552,0.1436,0.8214
2148509,24,162.0,50.0,160.0,0.2367,0.7286,0.6428,-0.9616,0.0813,0.262
2148509,25,320.0,30.0,125.0,-0.3214,-0.383,0.866,0.8954,0.1747,0.4096
2148509,26,144.9,55.0,110.0,0.4708,0.6703,0.5736,-0.5897,-0.2445,0.7698
2148509,27,308.8,45.0,105.0,-0.5509,-0.4433,0.7071,0.6944,0.2266,0.683
2148509,28,315.8,55.0,95.0,-0.5715,-0.5869,0.5736,0.4611,0.3486,0.816
2148509,29,156.5,65.0,145.0,0.3619,0.8309,0.4226,-0.8478,0.1049,0.5198
2148509,30,136.5,60.0,140.0,0.5967,0.6277,0.5,-0.7767,0.2948,0.5567
2148509,31,144.8,40.0,100.0,0.3707,0.5251,0.766,-0.5769,-0.5162,0.633
2148509,32,110.0,30.0,95.0,0.4698,0.171,0.866,-0.8405,-0.2132,0.4981
2148509,33,119.0,60.0,115.0,0.7572,0.4203,0.5,-0.6013,0.1496,0.7849
2148509,34,50.9,40.0,120.0,0.4986,-0.4057,0.766,-0.1991,0.8065,0.5567
2148509,35,132.7,55.0,95.0,0.6019,0.5556,0.5736,-0.479,-0.3235,0.816
2148509,36,130.6,60.0,110.0,0.6571,0.5641,0.5,-0.5793,-0.0465,0.8138
2148509,37,126.0,75.0,110.0,0.7815,0.5678,0.2588,-0.3978,0.1337,0.9077
2148509,38,132.4,45.0,105.0,0.5226,0.4764,0.7071,-0.6791,-0.2689,0.683
2148509,39,137.0,40.0,135.0,0.4387,0.4698,0.766,-0.8865,0.0868,0.4545
2148509,40,100.3,75.0,95.0,0.9504,0.1725,0.2588,-0.2693,0.0397,0.9623
2148509,41,101.6,60.0,95.0,0.8483,0.1743,0.5,-0.5054,-0.0149,0.8627
2148509,42,130.6,60.0,125.0,0.6571,0.5641,0.5,-0.6844,0.1684,0.7094
2148509,43,144.9,55.0,120.0,0.4708,0.6703,0.5736,-0.6947,-0.1191,0.7094
2148509,44,150.0,30.0,130.0,0.25,0.433,0.866,-0.8884,-0.2531,0.383
2148509,45,132.7,55.0,100.0,0.6019,0.5556,0.5736,-0.5328,-0.2556,0.8067
2148509,46,139.8,65.0,100.0,0.5844,0.6927,0.4226,-0.4011,-0.2061,0.8925
2148509,47,285.7,40.0,105.0,-0.619,-0.1734,0.766,0.7823,-0.0496,0.6209
2148509,48,330.0,45.0,140.0,-0.3536,-0.6124,0.7071,0.8907,0.0106,0.4545
2148509,49,136.5,60.0,120.0,0.5967,0.6277,0.5,-0.6607,0.0306,0.75
2148509,50,122.7,50.0,105.0,0.6444,0.4142,0.6428,-0.6622,-0.1179,0.7399
2148509,51,129.1,40.0,130.0,0.4986,0.4057,0.766,-0.8609,0.1283,0.4924
2148509,52,285.7,40.0,95.0,-0.619,-0.1734,0.766,0.7583,0.122,0.6403
2148509,53,132.4,45.0,135.0,0.5226,0.4764,0.7071,-0.8459,0.1857,0.5
