event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
2148509,282.0,42.7,74.3,B,23.4,20.2,60,0,15.4,95.7,51.3,0.0,False,1994-01-21 11:04:15,2.3,34.2425,-118.617667,18.13,0.07,0.1
2155068,146.6,50.6,127.4,A,23.2,23.1,34,0,0.0,93.7,52.8,0.0,False,1994-01-25 10:05:22,2.4,34.241167,-118.621167,18.54,0.03,0.09
3143312,131.4,49.5,140.8,A,21.6,26.4,30,0,8.7,86.0,68.6,0.0,False,1994-01-28 07:44:46,3.4,34.239167,-118.6215,18.96,0.09,0.18
3145744,155.6,57.8,135.0,C,28.6,37.8,33,0,16.1,50.7,67.7,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3145744,339.0,44.3,119.7,D,40.3,30.4,33,0,14.9,45.0,68.0,0.0,True,1994-01-28 15:47:20,2.0,34.238167,-118.6105,17.79,0.06,0.09
3146815,267.0,59.0,56.1,A,17.7,18.2,73,0,10.9,100.0,52.0,0.0,False,1994-01-29 07:52:21,2.6,34.238333,-118.624667,19.2,0.09,0.12
3146907,119.2,53.5,93.6,C,34.6,34.2,23,0,12.1,59.0,61.7,0.0,True,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3146907,327.6,68.3,150.6,D,41.3,42.2,23,0,16.7,29.0,61.8,0.0,True,1994-01-31 07:13:16,2.2,34.241833,-118.6155,17.92,0.05,0.1
3147167,140.4,53.6,112.9,A,15.2,20.3,55,0,8.4,100.0,61.6,0.0,False,1994-02-05 07:11:45,2.4,34.240167,-118.616667,18.2,0.04,0.06
3148018,149.8,50.9,115.1,B,15.1,23.6,46,0,18.8,97.3,52.2,0.0,False,1994-02-10 04:19:26,2.5,34.242167,-118.620167,18.31,0.05,0.06
3148047,290.8,44.8,60.3,A,21.6,21.5,39,0,8.3,96.0,68.5,0.0,False,1994-02-10 04:46:40,2.3,34.241167,-118.620167,18.45,0.05,0.1
3149674,133.9,48.9,112.6,B,20.0,24.0,50,0,18.7,94.7,62.5,0.0,False,1994-02-13 09:04:56,2.1,34.237833,-118.612833,17.74,0.03,0.03
3150301,296.6,48.1,99.1,B,21.7,15.5,32,0,15.2,96.0,71.1,0.0,False,1994-02-14 13:19:47,2.3,34.241667,-118.617167,17.96,0.07,0.13
3150490,302.7,41.2,104.9,B,16.8,13.2,57,0,15.2,99.6,61.1,0.0,False,1994-02-15 01:59:47,2.5,34.241667,-118.619,18.19,0.01,0.06
3150936,142.4,56.8,128.8,A,20.6,24.4,57,0,4.5,89.3,50.1,0.0,False,1994-02-15 04:10:52,2.0,34.239833,-118.621333,18.39,0.07,0.06
3150947,142.3,52.3,129.2,A,20.0,19.2,50,0,8.4,98.0,54.3,0.0,False,1994-02-15 21:13:54,2.3,34.239667,-118.615833,17.91,0.03,0.13
3151649,283.4,46.2,73.0,A,27.5,22.3,33,0,9.9,86.7,55.0,0.0,False,1994-02-20 19:35:21,1.9,34.237833,-118.611833,17.83,0.06,0.07
3152142,129.9,47.3,108.7,A,18.9,21.1,48,0,6.1,97.7,53.8,0.0,False,1994-03-14 10:02:19,2.2,34.239333,-118.618333,18.35,0.06,0.03
3152388,139.5,50.0,117.3,B,26.6,29.0,34,0,13.5,77.3,57.5,0.0,False,1994-03-18 08:27:27,2.2,34.2405,-118.617667,18.28,0.03,0.04
3152559,141.7,48.4,114.9,A,18.4,23.0,42,0,4.8,96.3,53.1,0.0,False,1994-03-20 00:11:12,2.5,34.241167,-118.615833,18.0,0.05,0.07
3153955,301.5,29.7,116.2,B,30.3,27.9,32,0,6.6,73.0,61.1,0.0,False,1994-03-22 13:07:33,2.3,34.239333,-118.615667,18.17,0.04,0.04
3158361,280.8,44.6,62.9,A,26.5,21.7,46,0,10.5,90.0,51.6,0.0,False,1994-03-24 11:23:51,1.7,34.240167,-118.618333,18.04,0.05,0.05
3159027,122.0,51.7,99.8,B,24.8,26.2,39,0,4.7,87.7,64.6,0.0,False,1994-07-26 02:58:20,2.6,34.239,-118.6115,17.78,0.05,0.14
3159267,133.9,57.8,110.6,A,22.3,24.1,44,0,5.3,92.0,60.4,0.0,False,1994-01-31 04:53:39,2.1,34.238167,-118.610667,17.44,0.09,0.13
3160206,273.1,54.4,54.7,B,29.8,26.1,31,0,2.6,79.3,56.3,0.0,False,1994-02-07 05:23:49,1.8,34.237333,-118.613,17.7,0.06,0.11
3177685,130.0,47.1,111.3,A,17.0,18.3,51,0,13.5,99.3,58.4,0.0,False,1994-02-08 02:07:08,2.6,34.238167,-118.606333,17.75,0.07,0.16
