event_id,etime,elat,elon,edep,emag,station_id,phase_type,phase_polarity,phase_time
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,BK.JCC..HHZ,P,-1.0,2011-01-15 09:28:10.990
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.GTC..SHZ,P,-1.0,2011-01-15 09:28:17.780
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KCR..SHZ,P,-1.0,2011-01-15 09:28:07.860
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KCS..SHZ,P,-1.0,2011-01-15 09:28:13.110
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KHBB..HHZ,P,1.0,2011-01-15 09:28:16.310
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KHMB..HHZ,P,-1.0,2011-01-15 09:28:13.930
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KIP..SHZ,P,1.0,2011-01-15 09:28:14.660
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KJJ..SHZ,P,-1.0,2011-01-15 09:28:02.380
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KKP..SHZ,P,1.0,2011-01-15 09:28:13.210
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KMPB..HHZ,P,-1.0,2011-01-15 09:28:03.700
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KMR..HHZ,P,1.0,2011-01-15 09:28:09.290
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KPP..SHZ,P,1.0,2011-01-15 09:28:14.140
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KRK..SHZ,P,-1.0,2011-01-15 09:28:18.890
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.KSM..SHZ,P,1.0,2011-01-15 09:28:03.450
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LBK..SHZ,P,,2011-01-15 09:28:24.550
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LBP..SHZ,P,-1.0,2011-01-15 09:28:19.130
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LPG..SHZ,P,-1.0,2011-01-15 09:28:21.480
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LRB..SHZ,P,,2011-01-15 09:28:23.920
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LSH..SHZ,P,,2011-01-15 09:28:29.350
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,NC.LVR..SHZ,P,-1.0,2011-01-15 09:28:22.060
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,PB.B045..EHZ,P,-1.0,2011-01-15 09:28:05.290
nc71510245,2011-01-15 09:27:59.780,40.309666666666665,-124.256,9.2,2.56,PB.B046..EHZ,P,1.0,2011-01-15 09:28:01.790
