event_id,etime,elat,elon,edep,emag,station_id,phase_type,phase_polarity,phase_time
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,BK.WDC..HHZ,P,-1.0,2009-01-04 22:44:03.120
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KCR..SHZ,P,1.0,2009-01-04 22:43:53.430
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KCS..SHZ,P,-1.0,2009-01-04 22:43:53.940
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KHBB..HHZ,P,1.0,2009-01-04 22:43:55.380
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KKP..SHZ,P,-1.0,2009-01-04 22:43:59.680
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KOM..SHZ,P,1.0,2009-01-04 22:43:53.800
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.KPP..SHZ,P,,2009-01-04 22:43:57.790
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.LBK..SHZ,P,1.0,2009-01-04 22:44:00.990
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.LGP..SHZ,P,-1.0,2009-01-04 22:43:58.890
nc71181691,2009-01-04 22:43:42.880,40.912,-123.9245,6.62,1.86,NC.LSF..SHZ,P,1.0,2009-01-04 22:44:03.480
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.GRO..EHZ,P,-1.0,2009-01-05 20:19:08.850
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.KBN..SHZ,P,-1.0,2009-01-05 20:19:07.100
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.KCS..SHZ,P,1.0,2009-01-05 20:19:08.860
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.KKP..SHZ,P,1.0,2009-01-05 20:19:07.010
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.KPP..SHZ,P,1.0,2009-01-05 20:19:06.410
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.LBK..SHZ,P,,2009-01-05 20:19:15.760
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.LBP..SHZ,P,-1.0,2009-01-05 20:19:06.130
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.LGP..SHZ,P,1.0,2009-01-05 20:19:12.760
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.LRB..SHZ,P,1.0,2009-01-05 20:19:08.890
nc71181841,2009-01-05 20:18:58.860,40.1875,-123.13466666666666,36.69,1.94,NC.LSF..SHZ,P,1.0,2009-01-05 20:19:11.270
nc71015414,2009-01-07 08:04:10.660,40.6325,-123.20566666666667,28.73,1.92,BK.WDC..HHZ,P,-1.0,2009-01-07 08:04:20.540
