event_id,etime,elat,elon,edep,emag,station_id,phase_type,phase_polarity,phase_time
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,BK.JCC..HHZ,P,1.0,2014-01-04 07:58:38.950
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,BK.WDC..HHZ,P,-1.0,2014-01-04 07:58:43.930
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,BK.YBH..HHZ,P,-1.0,2014-01-04 07:58:46.550
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KCR..EHZ,P,1.0,2014-01-04 07:58:41.740
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KCS..EHZ,P,-1.0,2014-01-04 07:58:38.720
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KHBB..HHZ,P,1.0,2014-01-04 07:58:37.350
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KHMB..HHZ,P,1.0,2014-01-04 07:58:35.940
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KOM..EHZ,P,1.0,2014-01-04 07:58:36.970
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KRMB..HHZ,P,1.0,2014-01-04 07:58:41.650
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KRP..HHZ,P,1.0,2014-01-04 07:58:39.140
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KSM..EHZ,P,1.0,2014-01-04 07:58:45.660
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KSXB..HHZ,P,,2014-01-04 07:58:46.170
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.KTR..EHZ,P,-1.0,2014-01-04 07:58:46.370
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LAMB..EHZ,P,-1.0,2014-01-04 07:58:45.660
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LBF..EHZ,P,1.0,2014-01-04 07:58:51.940
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LBK..EHZ,P,-1.0,2014-01-04 07:58:40.880
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LBP..EHZ,P,-1.0,2014-01-04 07:58:43.820
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LGB..EHZ,P,-1.0,2014-01-04 07:58:48.150
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LGM..EHZ,P,-1.0,2014-01-04 07:58:54.260
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LGP..EHZ,P,1.0,2014-01-04 07:58:38.910
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LMI..EHZ,P,1.0,2014-01-04 07:58:48.710
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LPK..EHZ,P,1.0,2014-01-04 07:58:44.690
nc72135941,2014-01-04 07:58:29.710,40.9605,-123.43716666666667,23.83,2.13,NC.LSF..EHZ,P,-1.0,2014-01-04 07:58:44.020
