station_id,begin_time,phase_index,phase_time,phase_score,phase_type,file_name,phase_amplitude,phase_amp
NC.KCR.02.EH,2013-10-24T11:28:22.390,3810,2013-10-24T11:29:00.490,0.956,P,nc72094516.mseed,47.5800666809082,47.5800666809082
NC.KCS..EH,2013-10-24T11:28:22.390,4050,2013-10-24T11:29:02.890,0.816,P,nc72094516.mseed,54.380332946777344,54.380332946777344
NC.KCT..HH,2013-10-24T11:28:22.390,4277,2013-10-24T11:29:05.160,0.837,P,nc72094516.mseed,416.5208740234375,416.5208740234375
NC.KFP..EH,2013-10-24T11:28:22.390,3995,2013-10-24T11:29:02.340,0.964,P,nc72094516.mseed,62.46659851074219,62.46659851074219
NC.KIP..EH,2013-10-24T11:28:22.390,3750,2013-10-24T11:28:59.890,0.981,P,nc72094516.mseed,205.77825927734375,205.77825927734375
NC.KKP..EH,2013-10-24T11:28:22.390,3586,2013-10-24T11:28:58.250,0.964,P,nc72094516.mseed,176.43853759765625,176.43853759765625
NC.KMPB..HH,2013-10-24T11:28:22.390,3984,2013-10-24T11:29:02.230,0.895,P,nc72094516.mseed,459.775390625,459.775390625
NC.KMR..HH,2013-10-24T11:28:22.390,3490,2013-10-24T11:28:57.290,0.953,P,nc72094516.mseed,651.3126220703125,651.3126220703125
NC.KPP..EH,2013-10-24T11:28:22.390,3857,2013-10-24T11:29:00.960,0.86,P,nc72094516.mseed,49.908668518066406,49.908668518066406
NC.KSM.02.EH,2013-10-24T11:28:22.390,3800,2013-10-24T11:29:00.390,0.987,P,nc72094516.mseed,456.30841064453125,456.30841064453125
NC.LPG..EH,2013-10-24T11:28:22.390,4474,2013-10-24T11:29:07.130,0.865,P,nc72094516.mseed,28.867332458496094,28.867332458496094
NC.LRB..EH,2013-10-24T11:28:22.390,4700,2013-10-24T11:29:09.390,0.83,P,nc72094516.mseed,32.47959899902344,32.47959899902344
PB.B045..EH,2013-10-24T11:28:22.390,1,2013-10-24T11:28:22.400,0.746,P,nc72094516.mseed,138.19259643554688,138.19259643554688
PB.B046..EH,2013-10-24T11:28:22.390,3991,2013-10-24T11:29:02.300,0.973,P,nc72094516.mseed,104.47740173339844,104.47740173339844
PB.B047..EH,2013-10-24T11:28:22.390,3846,2013-10-24T11:29:00.850,0.975,P,nc72094516.mseed,282.3680725097656,282.3680725097656
PB.B049..EH,2013-10-24T11:28:22.390,3526,2013-10-24T11:28:57.650,0.981,P,nc72094516.mseed,478.2392578125,478.2392578125
PB.B049..EH,2013-10-24T11:28:22.390,10264,2013-10-24T11:30:05.030,0.773,P,nc72094516.mseed,29.989267349243164,29.989267349243164
PB.B933..EH,2013-10-24T11:28:22.390,3561,2013-10-24T11:28:58.000,0.992,P,nc72094516.mseed,1086.174560546875,1086.174560546875
PB.B934..EH,2013-10-24T11:28:22.390,1,2013-10-24T11:28:22.400,0.783,P,nc72094516.mseed,505.6548767089844,505.6548767089844
PB.B935..EH,2013-10-24T11:28:22.390,3912,2013-10-24T11:29:01.510,0.9,P,nc72094516.mseed,52.79966735839844,52.79966735839844
TA.O02D..HH,2013-10-24T11:28:22.390,4359,2013-10-24T11:29:05.980,0.951,P,nc72094516.mseed,264.5877990722656,264.5877990722656
BG.AL4..DP,2013-05-17T23:14:24.840,2066,2013-05-17T23:14:45.500,0.715,P,nc71993336.mseed,78.2516098022461,78.2516098022461
BG.AL6..DP,2013-05-17T23:14:24.840,2162,2013-05-17T23:14:46.460,0.945,P,nc71993336.mseed,27.288381576538086,27.288381576538086
BG.DES..DP,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.701,P,nc71993336.mseed,232.89292907714844,232.89292907714844
BG.LCK..DP,2013-05-17T23:14:24.840,14034,2013-05-17T23:16:45.180,0.894,P,nc71993336.mseed,19.48246955871582,19.48246955871582
BG.MCL..DP,2013-05-17T23:14:24.840,2103,2013-05-17T23:14:45.870,0.955,P,nc71993336.mseed,92.3455810546875,92.3455810546875
BG.RGP..DP,2013-05-17T23:14:24.840,2134,2013-05-17T23:14:46.180,0.772,P,nc71993336.mseed,13.222763061523438,13.222763061523438
NC.GAC..EH,2013-05-17T23:14:24.840,2146,2013-05-17T23:14:46.300,0.956,P,nc71993336.mseed,26.407867431640625,26.407867431640625
NC.GBB..EH,2013-05-17T23:14:24.840,4523,2013-05-17T23:15:10.070,0.749,P,nc71993336.mseed,39.35166549682617,39.35166549682617
NC.GBG..EH,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.742,P,nc71993336.mseed,41.316532135009766,41.316532135009766
NC.GHM..EH,2013-05-17T23:14:24.840,4142,2013-05-17T23:15:06.260,0.961,P,nc71993336.mseed,85.92759704589844,85.92759704589844
NC.GRO..EH,2013-05-17T23:14:24.840,3897,2013-05-17T23:15:03.810,0.984,P,nc71993336.mseed,91.96006774902344,91.96006774902344
NC.GSG.02.EH,2013-05-17T23:14:24.840,1287,2013-05-17T23:14:37.710,0.89,P,nc71993336.mseed,117.46406555175781,117.46406555175781
NC.GVV..EH,2013-05-17T23:14:24.840,3968,2013-05-17T23:15:04.520,0.988,P,nc71993336.mseed,154.6143341064453,154.6143341064453
NC.KBN..EH,2013-05-17T23:14:24.840,3307,2013-05-17T23:14:57.910,0.987,P,nc71993336.mseed,708.6944580078125,708.6944580078125
NC.KFP..EH,2013-05-17T23:14:24.840,3921,2013-05-17T23:15:04.050,0.951,P,nc71993336.mseed,83.2134017944336,83.2134017944336
NC.KIP..EH,2013-05-17T23:14:24.840,3762,2013-05-17T23:15:02.460,0.93,P,nc71993336.mseed,256.7112731933594,256.7112731933594
NC.KKP..EH,2013-05-17T23:14:24.840,3801,2013-05-17T23:15:02.850,0.959,P,nc71993336.mseed,101.68766784667969,101.68766784667969
NC.KPP..EH,2013-05-17T23:14:24.840,3999,2013-05-17T23:15:04.830,0.973,P,nc71993336.mseed,211.26527404785156,211.26527404785156
NC.LBP..EH,2013-05-17T23:14:24.840,3975,2013-05-17T23:15:04.590,0.892,P,nc71993336.mseed,25.582733154296875,25.582733154296875
NC.LPG..EH,2013-05-17T23:14:24.840,3984,2013-05-17T23:15:04.680,0.771,P,nc71993336.mseed,55.30759811401367,55.30759811401367
NC.LRB..EH,2013-05-17T23:14:24.840,4191,2013-05-17T23:15:06.750,0.923,P,nc71993336.mseed,62.308868408203125,62.308868408203125
NC.LVR..EH,2013-05-17T23:14:24.840,3905,2013-05-17T23:15:03.890,0.977,P,nc71993336.mseed,177.88333129882812,177.88333129882812
NC.OGO..EH,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.778,P,nc71993336.mseed,105.54993438720703,105.54993438720703
NC.OST..EH,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.725,P,nc71993336.mseed,57.53013229370117,57.53013229370117
PB.B045..EH,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.761,P,nc71993336.mseed,81.7576675415039,81.7576675415039
PB.B047..EH,2013-05-17T23:14:24.840,4934,2013-05-17T23:15:14.180,0.92,P,nc71993336.mseed,61.771732330322266,61.771732330322266
PB.B933..EH,2013-05-17T23:14:24.840,4545,2013-05-17T23:15:10.290,0.734,P,nc71993336.mseed,38.37553405761719,38.37553405761719
PB.B934..EH,2013-05-17T23:14:24.840,1,2013-05-17T23:14:24.850,0.847,P,nc71993336.mseed,2129.779541015625,2129.779541015625
TA.O02D..HH,2013-05-17T23:14:24.840,3875,2013-05-17T23:15:03.590,0.933,P,nc71993336.mseed,213.61480712890625,213.61480712890625
BG.ACR..DP,2013-12-10T08:50:26.210,9989,2013-12-10T08:52:06.100,0.965,P,nc72118475.mseed,618.563720703125,618.563720703125
