event_id,strike,dip,rake,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,mult_solution_flag
51210446,265.0,5.0,70,2008-11-01 21:59:19.070,40.26667,-124.4,23.77,2.86,223,175,0.03,37,,20,10,20,0
51210909,135.0,90.0,-150,2008-11-09 14:09:15.000,40.61667,-123.28333,28.49,2.79,55,45,0.14,35,,15,15,40,0
51211307,95.0,85.0,-150,2008-11-16 05:43:15.590,40.3,-124.6,18.89,4.6,230,185,0.05,77,,8,10,55,0
51211307,115.0,40.0,-100,2008-11-16 05:43:15.590,40.3,-124.6,18.89,4.6,230,205,0.07,77,,10,8,0,0
51211307,175.0,30.0,-20,2008-11-16 05:43:15.590,40.3,-124.6,18.89,4.6,230,265,0.07,77,,10,20,10,1
51211310,175.0,50.0,-30,2008-11-16 06:05:04.820,40.31667,-124.58333,18.44,3.1,230,265,0.04,41,,23,23,30,0
40227240,150.0,80.0,-150,2008-12-04 09:44:08.760,40.03333,-123.63333,-1.18,2.58,117,60,0.02,26,,18,10,10,0
51212854,245.0,5.0,140,2008-12-12 09:41:02.510,40.46667,-124.3,23.27,2.44,162,155,0.12,25,,20,25,40,0
51212854,220.0,85.0,90,2008-12-12 09:41:02.510,40.46667,-124.3,23.27,2.44,162,310,0.15,25,,20,20,10,1
40230071,215.0,60.0,-50,2009-01-13 11:51:08.960,40.65,-124.03333,22.75,2.43,130,125,0.17,35,,15,28,25,0
51215473,200.0,80.0,-120,2009-01-18 22:27:55.580,40.95,-123.53333,26.63,3.01,72,110,0.24,56,,15,35,45,0
40230889,265.0,65.0,-150,2009-01-27 05:42:00.590,41.01667,-123.41667,34.20,3.09,41,175,0.36,34,,28,43,70,0
40231327,255.0,50.0,-140,2009-02-04 17:14:21.540,40.36667,-124.98333,9.41,3.25,235,165,0.15,47,,10,10,80,0
40232036,130.0,55.0,90,2009-02-20 22:41:17.810,40.48333,-124.26667,19.48,2.36,118,220,0.12,27,,30,3,20,0
40232406,145.0,60.0,130,2009-02-27 22:27:58.260,40.15,-123.83333,22.19,2.31,113,235,0.13,26,,13,15,30,0
40232508,190.0,90.0,30,2009-03-01 11:20:14.890,40.3,-124.58333,18.10,2.89,230,100,0.08,42,,30,30,40,0
40232766,265.0,30.0,70,2009-03-06 13:39:13.850,40.13333,-123.06667,40.54,2.45,47,175,0.17,38,,13,15,25,0
40232766,145.0,75.0,-170,2009-03-06 13:39:13.850,40.13333,-123.06667,40.54,2.45,47,235,0.17,38,,13,30,35,1
71197126,140.0,90.0,-100,2009-03-12 12:27:18.150,40.73333,-124.51667,23.46,2.35,222,50,0.22,37,,15,3,80,0
71197126,235.0,90.0,80,2009-03-12 12:27:18.150,40.73333,-124.51667,23.46,2.35,222,145,0.20,37,,18,3,80,1
40233362,115.0,60.0,-150,2009-03-18 11:04:39.120,40.53333,-124.41667,13.54,3.8,221,205,0.01,59,,8,10,15,0
40233857,250.0,80.0,20,2009-03-27 08:32:35.450,40.75,-124.38333,18.03,3.7,208,160,0.06,37,,10,20,20,0
40234034,260.0,80.0,-150,2009-03-30 15:33:22.580,41.43333,-123.38333,38.14,2.94,43,350,0.18,45,,18,33,35,0
40234061,265.0,65.0,-100,2009-03-31 06:57:47.240,40.98333,-123.66667,27.12,2.95,78,175,0.27,44,,70,25,35,0
40234325,160.0,75.0,20,2009-04-05 05:42:04.480,40.3,-124.56667,19.96,2.91,229,250,0.01,56,,15,30,25,0
40234475,100.0,65.0,-100,2009-04-07 22:17:24.490,40.75,-123.3,24.96,2.94,38,190,0.14,54,,43,28,15,0
51219955,120.0,35.0,-100,2009-04-15 22:49:48.520,40.5,-123.9,21.92,2.51,79,210,0.20,28,,23,13,25,0
71215241,260.0,70.0,120,2009-04-29 11:03:48.500,41.06667,-123.96667,29.53,2.29,135,170,0.19,25,,15,8,25,0
51220943,150.0,75.0,-170,2009-05-03 17:54:05.210,40.73333,-124.15,20.26,4.17,167,240,0.07,65,,10,23,30,0
51220943,205.0,45.0,-60,2009-05-03 17:54:05.210,40.73333,-124.15,20.26,4.17,167,115,0.08,65,,8,5,15,0
51220943,100.0,35.0,100,2009-05-03 17:54:05.210,40.73333,-124.15,20.26,4.17,167,190,0.11,65,,10,10,15,1
51221340,130.0,75.0,-140,2009-05-10 17:55:13.590,41.05,-125.16667,17.40,3.32,229,220,0.04,38,,8,40,30,0
40237802,105.0,75.0,160,2009-06-08 07:54:03.590,40.38333,-124.4,17.15,3.91,230,195,0.02,68,,10,18,40,0
40237802,150.0,40.0,-90,2009-06-08 07:54:03.590,40.38333,-124.4,17.15,3.91,230,240,0.02,68,,8,10,10,0
40237802,175.0,75.0,-30,2009-06-08 07:54:03.590,40.38333,-124.4,17.15,3.91,230,85,0.03,68,,8,13,10,1
40237970,225.0,30.0,-80,2009-06-10 22:43:03.950,40.28333,-123.46667,30.47,2.38,48,135,0.15,33,,30,15,20,0
40237970,145.0,40.0,-90,2009-06-10 22:43:03.950,40.28333,-123.46667,30.47,2.38,48,235,0.08,33,,43,20,35,1
71245471,220.0,85.0,-20,2009-07-08 16:47:55.330,40.4,-123.11667,39.63,2.57,52,130,0.07,42,,20,35,40,0
71246061,245.0,80.0,0,2009-07-09 11:08:20.910,41.26667,-124.38333,11.94,2.55,184,155,0.01,33,,10,28,20,0
71246116,210.0,55.0,-60,2009-07-09 16:09:53.180,41.0,-123.48333,26.81,2.24,45,120,0.13,26,,25,28,25,0
71246191,180.0,70.0,-30,2009-07-09 19:24:33.920,40.3,-124.55,18.61,3.45,229,270,0.04,48,,18,30,25,0
71246191,190.0,90.0,30,2009-07-09 19:24:33.920,40.3,-124.55,18.61,3.45,229,100,0.03,48,,10,23,20,1
71255501,250.0,75.0,-10,2009-07-28 07:59:08.970,40.46667,-123.5,5.76,2.78,43,160,0.08,27,,13,23,25,0
71255526,115.0,90.0,-20,2009-07-28 08:31:54.940,40.48333,-123.51667,0.94,2.35,42,25,0.31,27,,15,28,10,0
71255986,140.0,70.0,130,2009-07-29 09:31:07.260,40.48333,-123.51667,4.40,2.14,43,230,0.22,39,,15,15,30,0
71256386,180.0,65.0,-120,2009-07-30 04:42:02.500,40.75,-123.36667,25.09,2.48,62,90,0.26,30,,10,15,15,0
71261106,180.0,55.0,-100,2009-08-06 21:10:35.710,40.93333,-123.56667,16.08,2.86,52,90,0.29,43,,33,25,40,0
71261106,125.0,90.0,180,2009-08-06 21:10:35.710,40.93333,-123.56667,16.08,2.86,52,35,0.28,43,,23,53,55,1
71261376,200.0,80.0,-20,2009-08-07 10:49:34.720,40.3,-124.63333,16.26,4.92,232,290,0.00,62,,10,20,20,0
71261376,190.0,55.0,-60,2009-08-07 10:49:34.720,40.3,-124.63333,16.26,4.92,232,280,0.00,62,,20,5,10,1
71261996,220.0,10.0,160,2009-08-08 05:51:07.620,40.66667,-124.61667,23.24,2.65,231,130,0.12,34,,30,3,40,0
71261996,155.0,50.0,-60,2009-08-08 05:51:07.620,40.66667,-124.61667,23.24,2.65,231,65,0.16,34,,23,35,20,1
71268451,140.0,60.0,-150,2009-08-20 10:52:57.910,39.8,-123.21667,8.46,2.94,30,230,0.10,36,,10,23,30,0
71270896,245.0,80.0,-10,2009-08-25 11:11:31.920,40.26667,-123.75,27.54,2.13,85,155,0.10,25,,15,33,25,0
71273906,175.0,60.0,-10,2009-08-31 22:55:10.530,40.3,-124.5,19.88,2.43,232,85,0.05,30,,10,35,30,0
71273906,125.0,50.0,-100,2009-08-31 22:55:10.530,40.3,-124.5,19.88,2.43,232,215,0.06,30,,13,15,15,1
71271580,120.0,50.0,170,2009-09-05 19:53:39.680,39.81667,-123.21667,6.25,2.44,44,210,0.06,42,,15,35,30,0
71279761,140.0,30.0,-60,2009-09-12 10:31:27.740,40.43333,-124.66667,23.35,2.91,234,230,0.22,40,,23,20,20,0
71279761,195.0,80.0,-20,2009-09-12 10:31:27.740,40.43333,-124.66667,23.35,2.91,234,285,0.21,40,,13,35,75,1
71281261,195.0,65.0,-20,2009-09-15 13:11:33.080,39.78333,-123.6,-0.03,2.05,131,105,0.14,34,,23,20,40,0
71281556,100.0,5.0,40,2009-09-15 23:14:29.820,40.68333,-124.8,26.41,2.57,226,190,0.07,44,,15,43,40,0
71283451,155.0,50.0,-170,2009-09-19 23:56:24.170,40.48333,-124.45,26.90,3.09,230,245,0.12,64,,15,40,30,0
71283451,170.0,85.0,-100,2009-09-19 23:56:24.170,40.48333,-124.45,26.90,3.09,230,80,0.14,64,,20,8,25,1
71284331,200.0,70.0,-10,2009-09-21 19:11:18.240,39.83333,-123.48333,5.82,2.71,97,110,0.14,55,,13,40,35,0
71294371,220.0,50.0,-30,2009-10-05 19:27:35.150,39.81667,-123.2,3.63,2.34,27,130,0.15,45,,5,15,25,0
71294686,145.0,65.0,-140,2009-10-06 02:34:03.930,39.81667,-123.21667,4.97,2.04,59,235,0.16,26,,18,23,20,0
71296646,180.0,10.0,-40,2009-10-08 23:00:13.580,40.35,-124.23333,23.11,2.37,125,90,0.00,25,,33,5,30,0
71294810,95.0,75.0,-100,2009-10-15 22:47:34.610,40.4,-124.63333,25.55,2.53,235,185,0.12,28,,10,18,15,0
71297115,195.0,10.0,-20,2009-10-20 19:10:45.140,40.4,-124.61667,23.36,3.1,234,105,0.15,49,,8,10,10,0
71297115,120.0,50.0,150,2009-10-20 19:10:45.140,40.4,-124.61667,23.36,3.1,234,210,0.19,49,,5,25,25,1
71305080,195.0,55.0,-80,2009-11-04 15:21:39.980,40.26667,-123.68333,27.81,2.68,66,105,0.23,39,,18,20,25,0
71312701,260.0,70.0,-120,2009-11-10 05:03:57.020,40.3,-124.65,17.23,2.4,233,170,0.09,26,,20,28,20,0
71314741,120.0,5.0,80,2009-11-15 01:14:26.860,40.41667,-124.31667,27.86,2.47,179,210,0.11,33,,40,13,40,0
71317976,155.0,50.0,-130,2009-11-23 00:10:48.870,41.25,-124.81667,23.40,2.64,214,245,0.17,25,,25,45,50,0
71317976,195.0,5.0,-50,2009-11-23 00:10:48.870,41.25,-124.81667,23.40,2.64,214,105,0.17,25,,25,25,40,1
71317385,190.0,30.0,80,2009-12-03 16:15:05.350,40.3,-124.38333,20.99,2.15,228,100,0.16,32,,40,13,30,0
71320470,130.0,40.0,-80,2009-12-10 09:04:10.350,39.85,-123.18333,12.11,1.65,54,220,0.03,26,,35,18,40,0
71321525,110.0,30.0,-90,2009-12-13 04:35:29.620,40.26667,-124.35,22.01,2.58,229,200,0.06,29,,30,15,50,0
71321525,185.0,80.0,10,2009-12-13 04:35:29.620,40.26667,-124.35,22.01,2.58,229,275,0.07,29,,18,40,35,1
71325090,210.0,50.0,10,2009-12-22 23:40:43.920,39.76667,-123.33333,8.49,3.96,41,120,0.14,117,,13,15,25,0
71325370,255.0,55.0,-90,2009-12-23 18:20:11.800,39.96667,-123.13333,18.47,1.91,47,165,0.03,27,,80,15,20,0
71330070,185.0,65.0,-20,2010-01-04 14:10:54.780,40.26667,-123.86667,31.51,2.59,88,275,0.09,35,,20,43,35,0
71330090,230.0,80.0,-10,2010-01-04 14:24:54.440,40.26667,-123.86667,29.76,4.12,86,140,0.09,110,,8,20,25,0
71330095,145.0,45.0,-140,2010-01-04 14:29:41.080,40.25,-123.85,30.06,2.7,95,235,0.16,39,,18,25,35,0
71330115,140.0,75.0,140,2010-01-04 15:44:55.640,40.25,-123.85,29.01,2.57,88,230,0.28,35,,15,28,35,0
71330115,185.0,85.0,-90,2010-01-04 15:44:55.640,40.25,-123.85,29.01,2.57,88,95,0.28,35,,25,8,5,1
71330120,225.0,75.0,-10,2010-01-04 15:51:20.260,40.28333,-123.9,30.59,2.04,82,135,0.01,25,,15,38,40,0
71336156,105.0,20.0,70,2010-01-06 13:31:07.130,40.36667,-124.31667,33.58,2.61,181,195,0.05,28,,10,8,20,0
71338066,240.0,40.0,0,2010-01-10 00:27:39.320,40.65,-124.68333,28.74,6.5,220,150,0.03,55,,10,43,35,0
71338066,150.0,70.0,-160,2010-01-10 00:27:39.320,40.65,-124.68333,28.74,6.5,220,60,0.04,55,,20,35,15,0
71338066,150.0,85.0,-130,2010-01-10 00:27:39.320,40.65,-124.68333,28.74,6.5,220,60,0.03,55,,10,15,25,1
71338076,235.0,10.0,0,2010-01-10 00:43:15.670,40.61667,-124.75,28.29,3.71,223,145,0.09,39,,20,43,50,0
71338086,220.0,90.0,-90,2010-01-10 00:46:25.290,40.61667,-124.7,24.09,2.94,221,130,0.10,44,,30,25,35,0
71338081,155.0,55.0,170,2010-01-10 00:48:38.610,40.66667,-124.58333,23.44,3.32,231,245,0.09,51,,8,45,80,0
71338081,160.0,15.0,-180,2010-01-10 00:48:38.610,40.66667,-124.58333,23.44,3.32,231,70,0.09,51,,13,33,10,0
71338081,245.0,20.0,0,2010-01-10 00:48:38.610,40.66667,-124.58333,23.44,3.32,231,155,0.10,51,,10,43,25,1
71338111,170.0,40.0,-130,2010-01-10 00:57:20.180,40.71667,-124.43333,16.83,2.63,220,80,0.26,41,,23,15,45,0
71338111,190.0,50.0,-80,2010-01-10 00:57:20.180,40.71667,-124.43333,16.83,2.63,220,280,0.28,41,,35,13,50,1
71338141,265.0,65.0,50,2010-01-10 01:25:39.930,40.7,-124.46667,16.56,2.64,232,175,0.07,26,,20,23,40,0
71338156,210.0,30.0,-30,2010-01-10 01:48:47.120,40.68333,-124.6,21.85,2.96,216,120,0.21,41,,18,3,40,0
71338156,160.0,80.0,150,2010-01-10 01:48:47.120,40.68333,-124.6,21.85,2.96,216,70,0.24,41,,20,35,25,1
71338171,165.0,20.0,-130,2010-01-10 02:21:39.240,40.6,-124.76667,20.38,4.41,218,255,0.00,47,,25,38,25,0
71338186,115.0,75.0,-120,2010-01-10 02:32:49.470,40.35,-124.66667,20.47,2.79,234,205,0.09,38,,20,5,0,0
71338186,260.0,30.0,80,2010-01-10 02:32:49.470,40.35,-124.66667,20.47,2.79,234,170,0.16,38,,15,10,15,1
71338196,140.0,90.0,100,2010-01-10 03:07:01.840,40.61667,-124.68333,25.16,3.97,235,50,0.02,48,,10,0,80,0
71338196,225.0,55.0,-10,2010-01-10 03:07:01.840,40.61667,-124.68333,25.16,3.97,235,135,0.02,48,,10,45,25,1
71338206,235.0,65.0,30,2010-01-10 03:10:46.520,40.7,-124.46667,20.15,2.95,218,145,0.15,44,,10,20,30,0
71338291,230.0,90.0,90,2010-01-10 06:04:18.230,40.68333,-124.55,24.29,2.86,226,140,0.00,35,,20,0,25,0
71338291,190.0,80.0,-100,2010-01-10 06:04:18.230,40.68333,-124.55,24.29,2.86,226,280,0.31,35,,25,23,20,1
71338296,145.0,55.0,130,2010-01-10 06:05:57.870,40.68333,-124.73333,24.43,2.7,224,235,0.05,30,,13,40,15,0
71338296,150.0,20.0,150,2010-01-10 06:05:57.870,40.68333,-124.73333,24.43,2.7,224,60,0.05,30,,30,45,25,1
71338301,130.0,15.0,-60,2010-01-10 06:32:17.020,40.3,-124.61667,16.52,4.12,232,220,0.03,65,,20,20,20,0
71338301,175.0,50.0,-40,2010-01-10 06:32:17.020,40.3,-124.61667,16.52,4.12,232,265,0.03,65,,23,25,30,1
71338406,220.0,85.0,-60,2010-01-10 11:48:31.730,40.63333,-124.65,23.30,3.91,234,310,0.01,48,,10,8,65,0
71338406,125.0,80.0,130,2010-01-10 11:48:31.730,40.63333,-124.65,23.30,3.91,234,215,0.01,48,,10,20,35,1
71338411,180.0,90.0,90,2010-01-10 12:05:26.930,40.63333,-124.66667,23.89,2.83,221,90,0.14,32,,30,0,75,0
71338851,140.0,80.0,-120,2010-01-11 06:44:37.890,40.45,-124.83333,23.56,4.05,228,230,0.11,45,,13,30,35,0
71338851,150.0,50.0,-140,2010-01-11 06:44:37.890,40.45,-124.83333,23.56,4.05,228,60,0.14,45,,23,23,20,1
71339896,235.0,80.0,10,2010-01-13 17:36:27.970,40.65,-124.68333,24.51,3.33,235,145,0.10,44,,13,53,55,0
71339896,145.0,75.0,170,2010-01-13 17:36:27.970,40.65,-124.68333,24.51,3.33,235,235,0.10,44,,10,45,40,1
71340591,250.0,45.0,-130,2010-01-15 07:03:24.750,40.61667,-124.36667,13.38,2.62,218,160,0.20,34,,20,13,5,0
71340591,210.0,60.0,-60,2010-01-15 07:03:24.750,40.61667,-124.36667,13.38,2.62,218,300,0.19,34,,13,18,10,1
71345216,215.0,40.0,-60,2010-01-28 13:44:15.800,40.71667,-124.51667,17.38,2.67,233,125,0.09,28,,20,18,50,0
71345216,165.0,90.0,160,2010-01-28 13:44:15.800,40.71667,-124.51667,17.38,2.67,233,75,0.14,28,,13,35,20,0
71345216,190.0,30.0,-160,2010-01-28 13:44:15.800,40.71667,-124.51667,17.38,2.67,233,280,0.18,28,,28,23,15,1
71348851,125.0,75.0,-110,2010-02-04 20:20:21.970,40.4,-124.95,23.05,5.88,233,215,0.02,39,,28,35,50,0
71349501,210.0,85.0,-10,2010-02-06 03:32:22.690,40.36667,-125.0,9.02,3.32,235,120,0.03,40,,10,35,15,0
71349501,105.0,60.0,-140,2010-02-06 03:32:22.690,40.36667,-125.0,9.02,3.32,235,195,0.02,40,,15,30,40,0
71349501,175.0,55.0,-140,2010-02-06 03:32:22.690,40.36667,-125.0,9.02,3.32,235,85,0.04,40,,8,5,10,1
71349506,100.0,55.0,-140,2010-02-06 04:05:05.250,40.36667,-124.96667,10.81,3.63,234,190,0.01,42,,15,30,50,0
71349506,150.0,70.0,-150,2010-02-06 04:05:05.250,40.36667,-124.96667,10.81,3.63,234,60,0.03,42,,20,10,30,1
71349716,190.0,15.0,-30,2010-02-06 13:07:31.860,40.81667,-123.33333,32.65,3.16,37,280,0.15,56,,35,13,25,0
71349716,225.0,65.0,-60,2010-02-06 13:07:31.860,40.81667,-123.33333,32.65,3.16,37,315,0.19,56,,13,23,15,1
71353621,245.0,90.0,-90,2010-02-14 08:22:56.270,40.25,-124.23333,25.07,2.64,123,155,0.23,29,,53,18,50,0
71357015,150.0,50.0,-100,2010-03-02 09:44:13.600,40.71667,-124.48333,15.82,2.55,229,240,0.15,31,,18,5,15,0
71358185,235.0,70.0,-20,2010-03-04 12:22:30.570,40.38333,-124.96667,8.17,3.9,228,325,0.07,44,,20,25,30,0
71358615,225.0,75.0,-40,2010-03-05 02:11:01.960,40.88333,-123.46667,17.60,2.43,59,135,0.07,27,,8,10,20,0
71359120,220.0,25.0,-30,2010-03-05 23:40:58.070,40.66667,-124.56667,22.89,2.76,230,130,0.21,33,,20,15,40,0
71360785,175.0,25.0,-100,2010-03-09 10:36:20.330,40.28333,-124.4,-0.26,2.77,224,265,0.16,36,,18,3,10,0
71360785,215.0,75.0,0,2010-03-09 10:36:20.330,40.28333,-124.4,-0.26,2.77,224,125,0.16,36,,18,8,15,1
71365895,195.0,35.0,-80,2010-03-20 02:42:15.620,40.85,-123.46667,27.20,2.31,61,105,0.09,28,,18,18,20,0
71379161,90.0,75.0,-120,2010-04-08 01:36:41.360,40.28333,-124.31667,19.09,2.09,188,180,0.08,26,,30,13,25,0
71379161,165.0,35.0,0,2010-04-08 01:36:41.360,40.28333,-124.31667,19.09,2.09,188,75,0.16,26,,28,23,10,1
71379586,220.0,15.0,30,2010-04-09 02:03:46.480,40.8,-123.9,24.21,2.44,70,130,0.09,30,,23,33,30,0
71382831,140.0,45.0,-180,2010-04-15 22:31:55.630,40.48333,-124.26667,24.91,3.24,116,230,0.08,72,,13,43,30,0
71383806,240.0,30.0,170,2010-04-17 08:31:58.600,40.8,-124.16667,2.56,2.98,176,150,0.03,36,,40,28,20,0
71383971,105.0,55.0,30,2010-04-17 16:03:26.780,40.8,-124.16667,-0.64,2.64,178,195,0.09,34,,15,18,5,0
71385006,180.0,80.0,30,2010-04-19 00:23:09.510,41.13333,-123.45,37.77,2.38,87,270,0.05,25,,25,33,40,0
71385461,230.0,75.0,-70,2010-04-19 15:48:54.480,40.38333,-123.83333,23.93,2.91,50,320,0.11,54,,13,23,10,0
71385461,230.0,30.0,-50,2010-04-19 15:48:54.480,40.38333,-123.83333,23.93,2.91,50,140,0.12,54,,20,20,35,1
71385651,220.0,25.0,-60,2010-04-19 22:01:43.080,40.38333,-123.83333,22.97,2.71,77,130,0.05,37,,13,15,25,0
71388351,100.0,50.0,-100,2010-04-26 04:24:02.540,40.31667,-124.38333,16.53,2.31,230,190,0.07,27,,20,8,20,0
71388351,255.0,65.0,-160,2010-04-26 04:24:02.540,40.31667,-124.38333,16.53,2.31,230,165,0.10,27,,18,35,25,1
71391921,220.0,10.0,-120,2010-05-03 18:38:12.980,40.73333,-123.55,24.54,2.29,55,130,0.24,26,,38,18,35,0
71391921,185.0,70.0,-90,2010-05-03 18:38:12.980,40.73333,-123.55,24.54,2.29,55,275,0.27,26,,40,28,15,1
71390540,205.0,20.0,-30,2010-05-10 05:13:44.430,40.35,-124.26667,26.79,1.89,146,115,0.13,27,,18,38,30,0
71397951,185.0,85.0,-100,2010-05-14 13:09:33.350,40.55,-123.48333,25.10,2.28,62,95,0.19,31,,18,5,10,0
71397951,190.0,20.0,-160,2010-05-14 13:09:33.350,40.55,-123.48333,25.10,2.28,62,100,0.25,31,,15,13,30,0
71397951,155.0,10.0,80,2010-05-14 13:09:33.350,40.55,-123.48333,25.10,2.28,62,65,0.27,31,,25,10,20,1
71405421,225.0,50.0,-60,2010-05-28 03:26:49.070,40.38333,-123.86667,26.62,2.57,61,135,0.04,48,,10,15,15,0
