event_id,time,latitude,longitude,depth,mag,max_agap,dip_azimuth,strike,dip,rake,misfit,n_fmo,misfit_w_90ci,max_strike_90ci,max_dip_90ci,max_rake_90ci,multi_sol_flag
51209279,2008:10:10T13:23:44.88,40.3,-124.56666666666666,19.18,3.02,231.0,185.0,95.0,85.0,-140.0,0.09,45,,13,20,50,0
51210144,2008:10:26T09:26:50.76,40.31666666666667,-124.6,19.0,3.84,230.0,135.0,225.0,40.0,90.0,0.07,59,,10,8,55,0
51210144,2008:10:26T09:26:50.76,40.31666666666667,-124.6,19.0,3.84,230.0,80.0,170.0,80.0,-20.0,0.09,59,,13,33,10,1
71011617,2008:10:26T09:27:22.34,40.333333333333336,-124.61666666666666,20.83,4.9,231.0,245.0,155.0,35.0,-90.0,0.16,52,,35,15,50,0
71011617,2008:10:26T09:27:22.34,40.333333333333336,-124.61666666666666,20.83,4.9,231.0,70.0,160.0,55.0,-60.0,0.17,52,,18,20,40,1
51210163,2008:10:26T16:07:48.21,41.166666666666664,-124.21666666666667,15.66,3.9,193.0,25.0,115.0,85.0,-50.0,0.14,57,,28,23,35,0
51210446,2008:11:01T21:59:19.07,40.266666666666666,-124.4,23.77,2.86,223.0,175.0,265.0,5.0,70.0,0.03,37,,20,10,20,0
51210909,2008:11:09T14:09:15.00,40.61666666666667,-123.28333333333333,28.49,2.79,55.0,45.0,135.0,90.0,-150.0,0.14,35,,15,15,40,0
51211307,2008:11:16T05:43:15.59,40.3,-124.6,18.89,4.6,230.0,185.0,95.0,85.0,-150.0,0.05,77,,8,10,55,0
51211307,2008:11:16T05:43:15.59,40.3,-124.6,18.89,4.6,230.0,205.0,115.0,40.0,-100.0,0.07,77,,10,8,0,0
51211307,2008:11:16T05:43:15.59,40.3,-124.6,18.89,4.6,230.0,265.0,175.0,30.0,-20.0,0.07,77,,10,20,10,1
51211310,2008:11:16T06:05: 4.82,40.31666666666667,-124.58333333333333,18.44,3.1,230.0,265.0,175.0,50.0,-30.0,0.04,41,,23,23,30,0
40227240,2008:12:04T09:44: 8.76,40.03333333333333,-123.63333333333334,-1.18,2.58,117.0,60.0,150.0,80.0,-150.0,0.02,26,,18,10,10,0
51212854,2008:12:12T09:41: 2.51,40.46666666666667,-124.3,23.27,2.44,162.0,155.0,245.0,5.0,140.0,0.12,25,,20,25,40,0
51212854,2008:12:12T09:41: 2.51,40.46666666666667,-124.3,23.27,2.44,162.0,310.0,220.0,85.0,90.0,0.15,25,,20,20,10,1
40230071,2009:01:13T11:51: 8.96,40.65,-124.03333333333333,22.75,2.43,130.0,125.0,215.0,60.0,-50.0,0.17,35,,15,28,25,0
51215473,2009:01:18T22:27:55.58,40.95,-123.53333333333333,26.63,3.01,72.0,110.0,200.0,80.0,-120.0,0.24,56,,15,35,45,0
40230889,2009:01:27T05:42: 0.59,41.016666666666666,-123.41666666666667,34.2,3.09,41.0,175.0,265.0,65.0,-150.0,0.36,34,,28,43,70,0
40231327,2009:02:04T17:14:21.54,40.36666666666667,-124.98333333333333,9.41,3.25,235.0,165.0,255.0,50.0,-140.0,0.15,47,,10,10,80,0
40232036,2009:02:20T22:41:17.81,40.483333333333334,-124.26666666666667,19.48,2.36,118.0,220.0,130.0,55.0,90.0,0.12,27,,30,3,20,0
40232406,2009:02:27T22:27:58.26,40.15,-123.83333333333333,22.19,2.31,113.0,235.0,145.0,60.0,130.0,0.13,26,,13,15,30,0
